Ticker,Name-IB,Country-IB,Exchange-IB,Currency-IB,ISIN-19.7,ISIN-IB
ABSO,ABSOLENT GROUP AB,Sweden,SFB,SEK,SE0006256558,SE0006256558
ABRL,ABSOLUTE RETURN TRUST LTD,,VALUE,GBP,,
L5I,ABTERRA LTD,Singapore,SGX,SGD,,SG2C12961455
541,ABUNDANCE INTERNATIONAL LTD,Singapore,SGX,SGD,,SG1I02877971
ACEN,AC ENERGY INC,,VALUE,USD,,
ACIU,AC IMMUNE SA,United States of America,NASDAQ,USD,,
AJC,ACACIA COAL LTD,Australia,ASX,AUD,AU000000AJC0,
ACIA,ACACIA COMMUNICATIONS INC,United States of America,NASDAQ,USD,,
ACCA,ACACIA DIVERSIFIED HOLDINGS,United States of America,PINK,USD,,
ACA,ACACIA MINING PLC,,VALUE,GBP,,
ACPH,ACACIA PHARMA GROUP PLC,Belgium,ENEXT.BE,EUR,GB00BYWF9Y76,
ACTG,ACACIA RESEARCH CORP,United States of America,NASDAQ,USD,,
AKG,ACADEMIES AUSTRALASIA GROUP,Australia,ASX,AUD,AU000000AKG9,AU000000AKG9
ACHC,ACADIA HEALTHCARE CO INC,United States of America,NASDAQ,USD,,
ACAD,ACADIA PHARMACEUTICALS INC,United States of America,NASDAQ,USD,,
AKR,ACADIA REALTY TRUST,United States of America,NYSE,USD,,
ADN,ACADIAN TIMBER CORP,Canada,TSE,CAD,CA0042721005,
ACAMU,ACAMAR PARTNERS ACQUISITION,United States of America,NASDAQ,USD,,
AEF,ACASTA ENTERPRISES INC-B,Canada,TSE,CAD,,
ACST,ACASTI PHARMA INC,United States of America,NASDAQ,USD,,
ACNV,ACCELERA INNOVATIONS INC,United States of America,PINK,USD,,
XLRN,ACCELERON PHARMA INC,United States of America,NASDAQ,USD,,
AXE,ACCELEWARE LTD,Canada,VENTURE,CAD,,
ACCEL,ACCELL GROUP,Netherlands,AEB,EUR,,NL0009767532
ACLP,ACCELPATH INC,,VALUE,USD,,
ACCELYA,ACCELYA SOLUTIONS INDIA LTD,India,NSE,INR,,INE793A01012
AX1,ACCENT GROUP LTD,Australia,ASX,AUD,,AU000000AX19
ABPI,ACCENTIA BIOPHARMACEUTICALS,,VALUE,USD,,
ACN,ACCENTURE PLC,,US Exchange,,,
4813,ACCESS CO LTD,Japan,TSEJ,JPY,JP3108060009,JP3108060009
7042,ACCESS GROUP HOLDINGS CO LTD,Japan,TSEJ,JPY,JP3108190004,JP3108190004
ACCR,ACCESS-POWER & CO INC,United States of America,PINK,USD,,
ACSO,ACCESSO TECHNOLOGY GROUP PLC,United Kingdom,LSE,GBP,,GB0001771426
ACE,ACCIDENT EXCHANGE GROUP PLC,,VALUE,GBP,,
ANA,ACCIONA SA,Spain,BM,EUR,,ES0125220311
ACCO,ACCO BRANDS CORP,United States of America,NYSE,USD,,
ACCN,ACCOR SA,Mexico,MEXI,MXN,FR0000120404,FR0000120404
ACD,ACCORD FINANCIAL CORP,Canada,TSE,CAD,,
ADQU,ACCORDIA GOLF TRUST,Singapore,SGX,SGD,,
4395,ACCRETE INC,Japan,TSEJ,JPY,JP3108180005,JP3108180005
ACRL,ACCROL GROUP HOLDINGS PLC,United Kingdom,LSE,GBP,,GB00BZ6VT592
AXS,ACCSYS TECHNOLOGIES PLC,Netherlands,LSE,GBP,,GB00BQQFX454
ACCURACY,ACCURACY SHIPPING LTD,India,NSE,INR,,INE648Z01015
ARAY,ACCURAY INC,Germany,NASDAQ,USD,,
ACW,ACCURIDE CORP,,VALUE,USD,,
ACEINTEG,ACE INTEGRATED SOLUTIONS LTD,India,NSE,INR,,INE543V01017
ACRX,ACELRX PHARMACEUTICALS INC,United States of America,NASDAQ,USD,,
ACD,ACENCIA DEBT STRATEGIES LTD,,VALUE,USD,,
ACID,ACER INC-SPONSORED GDR REG S,,LSEIOB1,USD,,
ACER,ACER THERAPEUTICS INC,United States of America,NASDAQ,USD,,
ASPCF,ACERUS PHARMACEUTICALS CORP,United States of America,PINK,USD,,
5FW,ACESIAN PARTNERS LTD,Singapore,SGX,SGD,,SG1Q66923448
AKAOQ,ACHAOGEN INC,United States of America,PINK,USD,,
1715,ACHEM TECHNOLOGY CORP,,VALUE,TWD,,
5142,ACHILLES CORP,Japan,TSEJ,JPY,JP3108000005,JP3108000005
ADA,ACHILLION PHARMACEUTICALS,Germany,FWB2,EUR,,
ACGJ,ACI GLOBAL CORP,,VALUE,USD,,
ACIW,ACI WORLDWIDE INC,Germany,NASDAQ,USD,,
ACKB,ACKERMANS & VAN HAAREN,Belgium,ENEXT.BE,EUR,,BE0003764785
AKRFF,ACKROO INC,United States of America,PINK,USD,,
ACRS,ACLARIS THERAPEUTICS INC,United States of America,NASDAQ,USD,,
ACMR,ACM RESEARCH INC-CLASS A,United States of America,NASDAQ,USD,,
ACU,ACME UNITED CORP,United States of America,AMEX,USD,,
6888,ACMOS INC,Japan,TSEJ,JPY,JP3108100003,JP3108100003
ACNB,ACNB CORP,United States of America,NASDAQ,USD,,
8572,ACOM CO LTD,Japan,TSEJ,JPY,JP3108600002,JP3108600002
ACX,ACONEX LTD,,VALUE,AUD,,
ACOR,ACORDA THERAPEUTICS INC,Germany,NASDAQ,USD,,
ACQ,ACORN CAPITAL INVESTMENT FUN,Australia,ASX,AUD,,AU000000ACQ5
ACFN,ACORN ENERGY INC,United States of America,PINK,USD,,
AIF,ACORN INCOME FUND LTD-ORD,United Kingdom,LSE,GBP,,
ATV,ACORN INTERNATIONAL INC-ADR,United States of America,NYSE,USD,,
ACO,ACOTEL GROUP SPA,Italy,BVME,EUR,,
AIII,ACRE REALTY INVESTORS INC,United States of America,DOLLR4LOT,USD,,
ACRGF,ACREAGE HOLDINGS INC-SUB,United States of America,PINK,USD,,
3823,ACRODEA INC,Japan,TSEJ,JPY,JP3108120001,JP3108120001
ACF,ACROW FORMWORK AND CONSTRUCT,Australia,ASX,AUD,,AU0000006124
ACT,ACTELION LTD-REG,,VALUE,EUR,,
ATIC,ACTIC GROUP AB,Sweden,SFB,SEK,SE0009269467,SE0009269467
ATNM,ACTINIUM PHARMACEUTICALS INC,United States of America,AMEX,USD,,
ACW,ACTINOGEN MEDICAL LTD,Australia,ASX,AUD,AU000000ACW3,AU000000ACW3
ACE,ACTION CONSTRUCTION EQUIPMEN,India,NSE,INR,,INE731H01025
AEG,ACTIVE ENERGY GROUP PLC,United Kingdom,LSE,GBP,,GB00BPG7NS80
ACARQ,ACTIVECARE INC,,VALUE,USD,,
3279,ACTIVIA PROPERTIES INC,Japan,TSEJ,JPY,JP3047490002,JP3047490002
ATVI,ACTIVISION BLIZZARD INC,Mexico,US Exchange,,US00507V1098,
ACT,ACTUAL EXPERIENCE PLC,United Kingdom,LSE,GBP,,GB00BJ05QC14
AYI,ACUITY BRANDS INC,United States of America,US Exchange,,,
AT,ACUITYADS HOLDING INC,Canada,TSE,CAD,,
ACUR,ACURA PHARMACEUTICALS INC,United States of America,PINK,USD,,
GOLF,ACUSHNET HOLDINGS CORP,United States of America,NYSE,USD,,
ACUS,ACUSPHERE INC,United States of America,PINK,USD,,
ADSYQ,AD SYSTEMS COMMUNICATIONS IN,United States of America,DOLLR4LOT,USD,,
ADA,ADACEL TECHNOLOGIES LIMITED,Australia,ASX,AUD,,AU000000ADA7
ADH,ADAIRS LTD,Australia,ASX,AUD,AU000000ADH2,AU000000ADH2
1AD,ADALTA LTD,Australia,ASX,AUD,,AU0000001AD2
000553,ADAMA LTD-A,China,SEHKSZSE,CNH,,CNE0000004V0
ADAC,ADAMA TECHNOLOGIES CORP,,VALUE,USD,,
ADAM,ADAMAS FINANCE ASIA LTD,United Kingdom,LSE,GBP,,
ADMS,ADAMAS PHARMACEUTICALS INC,United States of America,NASDAQ,USD,,
ADZ,ADAMERA MINERALS CORP,Canada,VENTURE,CAD,,
ADMP,ADAMIS PHARMACEUTICALS CORP,United States of America,NASDAQ,USD,,
PEO,ADAMS NATURAL RESOURCES FUND,United States of America,NYSE,USD,,
ADA,ADAMS PLC,United Kingdom,LSE,GBP,,IM00B986V543
ADANIENT,ADANI ENTERPRISES LTD,India,NSE,INR,,INE423A01024
ADANIGAS,ADANI GAS LIMITED,India,NSE,INR,,
ADANIGREE,ADANI GREEN ENERGY LTD,India,NSE,INR,,INE364U01010
ADANIPORT,ADANI PORTS AND SPECIAL ECON,India,NSE,INR,,INE742F01042
ADANIPOWE,ADANI POWER LIMITED,India,NSE,INR,,INE814H01011
ADANITRAN,ADANI TRANSMISSION LTD,India,NSE,INR,,INE931S01010
ADAP,ADAPTIMMUNE THERAPEUTICS-ADR,United States of America,NASDAQ,USD,,
AATV,ADAPTIVE AD SYSTEMS INC,United States of America,PINK,USD,,
ADPT,ADAPTIVE BIOTECHNOLOGIES,United States of America,NASDAQ,USD,,
ADTM,ADAPTIVE MEDIAS INC,United States of America,PINK,USD,,
ADOOY,ADARO ENERGY PT-UNSP ADR,United States of America,PINK,USD,,
2685,ADASTRIA CO LTD,Japan,TSEJ,JPY,,JP3856000009
ADK,ADCARE HEALTH SYSTEMS INC,,VALUE,USD,,
ADCO,ADCORE INC,Canada,VENTURE,CAD,,
ATXG,ADDENTAX GROUP CORP,United States of America,PINK,USD,,
APE,ADDEX THERAPEUTICS LTD,Germany,SWB,EUR,,CH0029850754
ADKO,ADDIKO BANK AG,Austria,VSE,EUR,AT000ADDIKO0,AT000ADDIKO0
000547,ADDSINO CO LTD -A,China,SEHKSZSE,CNH,,CNE000000DM5
ADUS,ADDUS HOMECARE CORP,United States of America,NASDAQ,USD,,
A31,ADDVALUE TECHNOLOGIES LTD,Singapore,SGX,SGD,,SG1I67883666
ADI1,ADECCO GROUP AG-REG,Germany,FWB,EUR,,CH0012138605
4401,ADEKA CORP,Japan,TSEJ,JPY,JP3114800000,JP3114800000
AYT,ADELAIDE-ASSET BACK YIELD TR,,VALUE,AUD,,
ADPAS,ADELPHIA RECOVERY TRUST,,VALUE,USD,,
ADPTQ,ADEPTUS HEALTH INC-CLASS A,,VALUE,USD,,
ADES,ADES INTERNATIONAL HOLDING P,,LSE,USD,,
IOTS,ADESTO TECHNOLOGIES CORP,,VALUE,USD,,
ADE,ADEX MINING INC,Canada,VENTURE,CAD,CA0069032070,
ADFFOODS,ADF FOODS LTD,India,NSE,INR,,INE982B01019
DRX,ADF GROUP INC,Canada,TSE,CAD,,
ADFT,ADFITECH INC/OK,United States of America,PINK,USD,,
ATRX,ADHERA THERAPEUTICS INC,United States of America,PINK,USD,,
ADR,ADHERIUM LTD,Australia,ASX,AUD,,AU000000ADR1
ADHUNIKIN,ADHUNIK INDUSTRIES LTD,India,NSE,INR,,
ADHUNIK,ADHUNIK METALIKS LTD,,VALUE,INR,,
ADIL,ADIAL PHARMACEUTICALS INC,United States of America,NASDAQ,USD,,
ADSN,ADIDAS AG,Mexico,MEXI,MXN,DE000A1EWWW0,DE000A1EWWW0
ADDYY,ADIDAS AG-SPONSORED ADR,United States of America,PINK,USD,,
ADNT,ADIENT PLC,United States of America,US Exchange,,,
ADKT,ADIRONDACK TRUST CO SARATOGA,United States of America,PINK,USD,,
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,India,NSE,INR,,INE674K01013
BIRLAMONE,ADITYA BIRLA MONEY LTD,India,NSE,INR,,INE865C01022
ADD,ADLER MODEMAERKTE AG,Germany,IBIS,EUR,,
ADMA,ADMA BIOLOGICS INC,United States of America,NASDAQ,USD,,
ADJ,ADO PROPERTIES SA,Switzerland,EBS,CHF,,LU1250154413
ADBE,ADOBE INC,United States of America,US Exchange,,,
ADOM,ADOMANI INC,United States of America,PINK,USD,,
ADORWELD,ADOR WELDING LTD,India,NSE,INR,,INE045A01017
ADPN,ADP,Mexico,MEXI,MXN,,FR0010340141
ADT,ADRIATIC METALS PLC-CDI,Australia,ASX,AUD,,
ADROITINF,ADROIT INFOTECH LTD,India,NSE,INR,,INE737B01033
ADST,ADSTAR INC,,VALUE,USD,,
ADT.4,ADT CORP,,US Exchange,,,
ATGE,ADTALEM GLOBAL EDUCATION INC,United States of America,US Exchange,,,
6668,ADTEC PLASMA TECHNOLOGY CO,Japan,TSEJ,JPY,,JP3122010006
ADTN,ADTRAN INC,Germany,NASDAQ,USD,,
ADRO,ADURO BIOTECH INC,United States of America,NASDAQ,USD,,
ADVN,ADVAL TECH HOLDING AG-REG,Switzerland,EBS,CHF,,CH0008967926
AAP,ADVANCE AUTO PARTS INC,Mexico,US Exchange,,,
3773,ADVANCED MEDIA INC,Japan,TSEJ,JPY,JP3122150000,JP3122150000
AMD,ADVANCED MICRO DEVICES,United States of America,US Exchange,,,
43Q,ADVANCER GLOBAL LTD,Singapore,SGX,SGD,,SG1CJ7000006
5998,ADVANEX INC,Japan,TSEJ,JPY,JP3213400009,JP3213400009
ADVANIHOT,ADVANI HOTELS & RES (INDIA),India,NSE,INR,,INE199C01026
ASIX,ADVANSIX INC,Mexico,US Exchange,,,
AVLIF,ADVANTAGE LITHIUM CORP,Germany,VALUE,CAD,,
AVLIF,ADVANTAGE LITHIUM CORP,Germany,VALUE,USD,,
AAVVF,ADVANTAGE OIL & GAS LTD,United States of America,PINK,USD,,
8769,ADVANTAGE RISK MANAGEMENT CO,Japan,TSEJ,JPY,,JP3122410008
AOC,ADVANTAGEWON OIL CORP,Canada,PURE,CAD,,
ADGO,ADVANTEGO CORP,United States of America,PINK,USD,,
6857,ADVANTEST CORP,Japan,TSEJ,JPY,,JP3122400009
ADVT,ADVANTIS CORP,United States of America,PINK,USD,,
ADXS,ADVAXIS INC,United States of America,NASDAQ,USD,,
6030,ADVENTURE INC,Japan,TSEJ,JPY,JP3122380003,JP3122380003
ADZN,ADVENTUS MINING CORP,Canada,VENTURE,CAD,,
ADV2,ADVEO GROUP INTERNATIONAL SA,,VALUE,EUR,,
ADVM,ADVERUM BIOTECHNOLOGIES INC,United States of America,NASDAQ,USD,,
ADVIC,ADVICENNE,France,SBF,EUR,FR0013296746,
AADR,ADVISORSHARES DORSEY WRIGHT,,ARCA,USD,,
FNG,ADVSRSHRS NEW TECH AND MEDIA,,VALUE,USD,,
ADH,ADVTECH LTD,South Africa,JSE,ZAR,,ZAE000031035
2489,ADWAYS INC,Japan,TSEJ,JPY,JP3121970002,JP3121970002
GHU,ADX ENERGY LTD,Germany,FWB2,EUR,,AU000000ADX9
ADYX,ADYNXX INC,United States of America,PINK,USD,,
000738,AECC AERO-ENGINE CONTROL-A,China,SEHKSZSE,CNH,,CNE000000RM5
ACM,AECOM,United States of America,NYSE,USD,,
AED,AED OIL LTD,,VALUE,AUD,,
AEGN,AEGION CORP,United States of America,NASDAQ,USD,,
AEGISCHEM,AEGIS LOGISTICS LTD,India,NSE,INR,,INE208C01025
AGLE,AEGLEA BIOTHERAPEUTICS INC,United States of America,NASDAQ,USD,,
AEB,AEGON NV PERP CAP SECS FLTG RATE PFD,United States of America,NYSE,USD,,
AWX,AEM HOLDINGS LTD,Singapore,SGX,SGD,,SG1BA1000003
AMTX,AEMETIS INC,United States of America,NASDAQ,USD,,
AOLS,AEOLUS PHARMACEUTICALS INC,United States of America,PINK,USD,,
600469,AEOLUS TYRE CO LTD-A,China,SEHKNTL,CNH,,CNE000001G46
0900,AEON CREDIT SERVICE ASIA CO,Hong Kong,SEHK,HKD,,
8570,AEON FINANCIAL SERVICE CO LT,Japan,TSEJ,JPY,,JP3131400008
AGHC,AEON GLOBAL HEALTH CORP,United States of America,PINK,USD,,
8905,AEON MALL CO LTD,Japan,TSEJ,JPY,JP3131430005,JP3131430005
AML,AEON METALS LTD,Australia,ASX,AUD,AU000000AML5,AU000000AML5
0984,AEON STORES HONG KONG CO LTD,Hong Kong,SEHK,HKD,,
AQSZF,AEQUUS PHARMACEUTICALS INC,United States of America,PINK,USD,,
AER,AERCAP HOLDINGS NV,United States of America,NYSE,USD,,NL0000687663
AERI,AERIE PHARMACEUTICALS INC,United States of America,NASDAQ,USD,,
AEI,AERIS ENVIRONMENTAL LTD,Australia,ASX,AUD,AU000000AEI8,AU000000AEI8
AIS,AERIS RESOURCES LTD,Australia,ASX,AUD,,
AKOM,AERKOMM INC,United States of America,PINK,USD,,
AERP,AERO PERFORMANCE PRODUCTS,,VALUE,USD,,
ACY,AEROCENTURY CORP,United States of America,AMEX,USD,,
ARX,AEROFLEX HOLDING CORP,,VALUE,USD,,
AFLT,AEROFLOT PJSC,Russia,MOEX,RUB,,RU0009062285
AERZY,AEROFLOT-RUSSIAN-SPN ADR,United States of America,PINK,USD,,
AJRD,AEROJET ROCKETDYNE HOLDINGS,Germany,NYSE,USD,,
600677,AEROSPACE COMMUNICATIONS -A,China,SEHKNTL,CNH,,
000901,AEROSPACE HI-TECH HOLDINGS-A,China,SEHKSZSE,CNH,,CNE000000Y86
600501,AEROSUN CORP-A,China,SEHKNTL,CNH,,CNE000001857
AOTL,AEROTELESIS INC,,VALUE,USD,,
AVAV,AEROVIRONMENT INC,Germany,NASDAQ,USD,,
ARPO,AERPIO PHARMACEUTICALS INC,United States of America,NASDAQ,USD,,
AES,AES CORP (THE),,US Exchange,,,
8341,AESO HOLDING LTD,Hong Kong,SEHK,HKD,,
AEZS,AETERNA ZENTARIS INC,United States of America,NASDAQ,USD,,
ATHR,AETHER CATALYST SOLUTIONS IN,Canada,PURE,CAD,,
AET,AETNA INC,,US Exchange,,,
HE8,AETNA INC,,VALUE,USD,,
HE8,AETNA INC,,VALUE,EUR,,
GNMX,AEVI GENOMIC MEDICINE INC,,VALUE,USD,,
AEVS,AEVIS VICTORIA SA,Switzerland,EBS,CHF,CH0478634105,CH0478634105
L38,AF GLOBAL LTD,Singapore,SGX,SGD,,SG1C01001033
AFRK,AFARAK GROUP OYJ,United Kingdom,LSE,GBP,,FI0009800098
AFC,AFC ENERGY PLC,United Kingdom,LSE,GBP,,GB00B18S7B29
AFHL,AFCON HOLDINGS LTD,Israel,TASE,ILS,IL0005780130,IL0005780130
ACS,AFFILIATED COMPUTER SERVICES,,US Exchange,,,
AMG,AFFILIATED MANAGERS GROUP,United States of America,NYSE,USD,,
ABVG,AFFINITY BEVERAGE GROUP INC,United States of America,PINK,USD,,
AEB,AFFINITY ENERGY AND HEALTH L,Australia,ASX,AUD,,
AFYG,AFFINITY GOLD CORP,United States of America,PINK,USD,,
AFF,AFFINITY METALS CORP,Canada,VENTURE,CAD,CA00827Y1060,
AFFN,AFFINITY NETWORKS INC,,VALUE,USD,,
AFI,AFFINOR GROWERS INC,Canada,PURE,CAD,,
AFFMQ,AFFIRMATIVE INSURANCE HOLDIN,,VALUE,USD,,
1466,AFFLUENT PARTNERS HOLDINGS,Hong Kong,SEHK,HKD,,
AFFY,AFFYMAX INC,United States of America,PINK,USD,,
AFHP,AFH FINANCIAL GROUP PLC,United Kingdom,LSE,GBP,,
AFID,AFI DEVELOPMENT PLC-GDR REGS,,VALUE,USD,,
AFL,AFLAC INC,Germany,US Exchange,,,
AFR,AFREN PLC,,VALUE,GBP,,
HPMCF,AFRICA ENERGY CORP,United States of America,PINK,USD,,
AFGC,AFRICA GROWTH CORP,,VALUE,USD,,
AFRE,AFRICA ISRAEL RESIDENCES LTD,Israel,TASE,ILS,IL0010979487,IL0010979487
AOIFF,AFRICA OIL CORP,United States of America,PINK,USD,,
ACCS,AFRICAN COPPER CORP,,VALUE,USD,,
AFR,AFRICAN ENERGY RESOURCES-CDI,Australia,ASX,AUD,,
AGGFF,AFRICAN GOLD GROUP INC,Canada,VALUE,USD,,
A1G,AFRICAN GOLD LTD,Australia,ASX,AUD,,AU0000036949
AFMCF,AFRICAN METALS CORP,,VALUE,USD,,
AMLZF,AFRICAN MINERALS LTD,United States of America,PINK,USD,,
ARI,AFRICAN RAINBOW MINERALS LTD,South Africa,JSE,ZAR,,ZAE000054045
ATM,AFRITIN MINING LTD,United Kingdom,LSE,GBP,,GG00BD95V148
AFTM,AFTERMASTER INC,United States of America,PINK,USD,,
AFY,AFTERPAY HOLDINGS LTD,,VALUE,AUD,,
AGGZF,AG GROWTH INTERNATIONAL INC,United States of America,PINK,USD,,
MITT,AG MORTGAGE INVESTMENT TRUST,United States of America,NYSE,USD,,
AGARIND,AGARWAL INDUSTRIAL CORPORATI,India,NSE,INR,,INE204E01012
5201,AGC INC,Germany,TSEJ,JPY,,JP3112000009
AGCNET,AGC NETWORKS LIMITED,India,NSE,INR,,
AGCO,AGCO CORP,Germany,NYSE,USD,US0010841023,
UAVS,AGEAGLE AERIAL SYSTEMS INC,United States of America,AMEX,USD,,
AU1,AGENCY GROUP AUSTRALIA LTD,Australia,ASX,AUD,,AU000000AU12
AIFS,AGENT INFORMATION SOFTWARE I,United States of America,PINK,USD,,
AGMC,AGENT155 MEDIA CORP,,VALUE,USD,,
AGEN,AGENUS INC,United States of America,NASDAQ,USD,,
AGE,AGEX THERAPEUTICS INC,United States of America,AMEX,USD,,
AGFMF,AGF MANAGEMENT LTD-CLASS B,United States of America,PINK,USD,,
AFGVY,AGFA GEVAERT NV-UNSPON ADR,United States of America,PINK,USD,,
AGK,AGGREKO PLC,United Kingdom,LSE,GBP,,
3383,AGILE GROUP HOLDINGS LTD,Hong Kong,SEHK,HKD,KYG011981035,
AGRX,AGILE THERAPEUTICS INC,United States of America,NASDAQ,USD,,
A,AGILENT TECHNOLOGIES INC,Mexico,US Exchange,,,
AGLY,AGILITI INC.,United States of America,PINK,USD,,
AGYS,AGILYSYS INC,United States of America,NASDAQ,USD,,
AGIO,AGIOS PHARMACEUTICALS INC,Mexico,NASDAQ,USD,,
AGI,AGIPLAN TECHNOSOFT AG,,VALUE,EUR,,
AJX,AGJUNCTION INC,Canada,TSE,CAD,,
AGL,AGL ENERGY LTD,Australia,ASX,AUD,AU000000AGL7,AU000000AGL7
GAS,AGL RESOURCES INC,,VALUE,USD,,
AGMH,AGM GROUP HOLDINGS INC,United States of America,NASDAQ,USD,,
AGNCM,AGNC INVESTMENT CORP,United States of America,NASDAQ,USD,,
AGNCM,AGNC INVESTMENT CORP,United States of America,NASDAQ,USD,,
AEM,AGNICO EAGLE MINES LTD,Canada,NYSE,USD,,
AGHI,AGORA HOLDINGS INC,United States of America,PINK,USD,,
9704,AGORA HOSPITALITY GROUP CO L,Japan,TSEJ,JPY,,JP3561200001
