industry-IB,longName-IB,marketName-IB,ISIN,Symbol-IB,Name-IB,Country-IB,Exchange-IB,Currency-IB,Name-Investing.com,Exchange-Investing.com,Type-Investing.com,Market-Investing.com,CUSIP-Investing.com
Financial,CHARTER COURT FINANCIAL S,CCFS,GB00BD822578,CCFS,,,,,,,,,
Financial,CHARTER HALL GROUP,CHC,AU000000CHC0,CHC,CHARTER HALL GROUP,Australia,ASX,AUD,,,,,
Financial,CHARTER OAK BANK,NOINFO,US1612581082,CHOB,,,,,,,,,
Basic Materials,CHESTERFIELD RESOURCES PLC,SSQ3,GB00BF2F1X78,CHF,CHESTERFIELD RESOURCES PLC,United Kingdom,LSE,GBP,,,,,
Financial,CHARTER PACIFIC CORPORATION LIMITED,CHF,AU000000CHF3,CHF,,,,,,,,,
Industrial,CHASEN HOLDINGS LTD,5NV,SG1X55941717,5NV,CHASEN HOLDINGS LTD,Singapore,SGX,SGD,,,,,
"Consumer, Cyclical",CHASWOOD RESOURCES HOLDINGS,5TW,SG2E59979590,5TW,CHASWOOD RESOURCES HOLDINGS,Singapore,SGX,SGD,,,,,
Financial,CHATHAM LODGING TRUST,CLDT,US16208T1025,CLDT,,,,,,,,,
Basic Materials,CHATHAM ROCK PHOSPHATE LTD,NZP,CA1621631094,NZP,CHATHAM ROCK PHOSPHATE LTD,Canada,VENTURE,CAD,,,,,
Technology,CHATSWORTH DATA SOLUTIONS IN,CHWD,US1623071024,CHWD,,,,,,,,,
"Consumer, Non-cyclical",CHECK CAP LTD,SCM,IL0011336851,CHEK,,,,,,,,,
Technology,CHECK POINT SOFTWARE TECH,NMS,IL0010824113,CHKP,CHECK POINT SOFTWARE TECH,Germany,NASDAQ,USD,Check Point Software Technologies Ltd,NASDAQ,Equity,United States,001082411
Industrial,CHECKPOINT SYSTEMS INC,CKP,US1628251035,CKP,,,,,,,,,
"Consumer, Non-cyclical",CHECKPOINT THERAPEUTICS INC,SCM,US1628281073,CKPT,,,,,,,,,
"Consumer, Cyclical",CHEESECAKE FACTORY INC/THE,NMS,US1630721017,CAKE,CHEESECAKE FACTORY INC/THE,United States of America,NASDAQ,USD,The Cheesecake Factory,NASDAQ,Equity,United States,163072101
Basic Materials,RADIO FUELS ENERGY CORPRADIO,CAKE,CA7503971011,CAKE,,,,,,,,,
Technology,CHEETAH MOBILE INC - ADR,CMCM,US1630751048,CMCM,,,,,,,,,
,CHEF SELECTIONS INC,CFSC,US1630791069,CFSC,,,,,,,,,
"Consumer, Non-cyclical",CHEFS' WAREHOUSE INC/THE,NMS,US1630861011,CHEF,CHEFS' WAREHOUSE INC/THE,United States of America,NASDAQ,USD,The Chefs Warehouse Inc,NASDAQ,Equity,United States,163086101
"Consumer, Non-cyclical",CHEGG INC,CHGG,US1630921096,CHGG,,,,,,,,,
Energy,CHELSEA OIL AND GAS LTD,COGLF,CA1633841004,COGLF,,,,,,,,,
,CHELVERTON GROWTH TRUST PLC,SSQ3,GB0002621349,CGW,CHELVERTON GROWTH TRUST PLC,United Kingdom,LSE,GBP,,,,,
,INVESCO S&P GLOBAL WATER IND,CGW,US46138E2634,CGW,,,,,,,,,
,COATS GROUP PLC-CDI,CGW,GB00B4Y2NBAD,CGW,,,,,,,,,
"Consumer, Non-cyclical",CHEMBIO DIAGNOSTICS INC,SCM,US1635722093,CEMI,,,,,,,,,
,CIBC EMERGING MARKETS EQUITY,CEMI,CA17165A2011,CEMI,,,,,,,,,
Basic Materials,CHEMFAB ALKALIS LTD,CHEMFAB,INE783X01023,CHEMFAB,CHEMFAB ALKALIS LTD,India,NSE,INR,,,,,
Basic Materials,CHEMICAL IND (F.E.) LTD,C05,SG1B37000984,C05,CHEMICAL IND (F.E.) LTD,Singapore,SGX,SGD,,,,,
Basic Materials,CHEMIPROKASEI KAISHA LTD,4960,JP3281650006,4960,CHEMIPROKASEI KAISHA LTD,Japan,TSEJ,JPY,,,,,
"Consumer, Non-cyclical",BRAXIA SCIENTIFIC CORP,XETRA,CA1057361026,4960,,,,,,,,,
"Consumer, Non-cyclical",CHEMISTREE TECHNOLOGY INC,XETRA,CA16383D1042,CM1,,,,,,,,,
"Consumer, Non-cyclical",CHEMOCENTRYX INC,NMS,US16383L1061,CCXI,,,,,,,,,
Basic Materials,CHEMOURS CO/THE,CC,US1638511089,CC,,,,,,,,,
Basic Materials,CORE ASSETS CORP,CC,CA21871U1057,CC,,,,,,,,,
Financial,CIC,CC,FR0005025004,CC,,,,,,,,,
Financial,CHEMUNG FINANCIAL CORP,NMS,US1640241014,CHMG,,,,,,,,,
Communications,CHENGDU B-RAY MEDIA CO LTD-A,600880,CNE000000JB5,600880,CHENGDU B-RAY MEDIA CO LTD-A,China,SEHKNTL,CNH,,,,,
"Consumer, Non-cyclical",CHENGDU EXPRESSWAY CO LTD-H,1785,CNE100003FL5,1785,CHENGDU EXPRESSWAY CO LTD-H,Hong Kong,SEHK,HKD,,,,,
Utilities,CHENGDU XINGRONG ENVIRONME-A,000598,CNE000000HN4,000598,CHENGDU XINGRONG ENVIRONME-A,China,SEHKSZSE,CNH,,,,,
"Consumer, Cyclical",CHENGTUN MINING GROUP CO -A,600711,CNE000000KN8,600711,CHENGTUN MINING GROUP CO -A,China,SEHKNTL,CNH,,,,,
Energy,CHENIERE ENERGY PART LP HOLD,CQH,US16411W1080,CQH,,,,,,,,,
Energy,CHENIERE ENERGY PARTNERS LP,CQP,US16411Q1013,CQP,,,,,,,,,
Energy,CHENNAI PETROLEUM CORP LTD,CHENNPETR,INE178A01016,CHENNPETR,CHENNAI PETROLEUM CORP LTD,India,NSE,INR,,,,,
Financial,CHERRY HILL MORTGAGE INVESTM,CHMI,US1646511014,CHMI,,,,,,,,,
"Consumer, Cyclical",CHERUBIM INTERESTS INC,CHIT,US1648653053,CHIT,,,,,,,,,
Energy,CHESAPEAKE ENERGY CORP,CHKAQ,US1651677437,CHKAQ,,,,,,,,,
Basic Materials,CHESAPEAKE GOLD CORP.,CKG,CA1651841027,CKG,CHESAPEAKE GOLD CORP.,Canada,VENTURE,CAD,,,,,
Energy,CHESAPEAKE GRANITE WASH TRUS,CURRENT,US1651851099,CHKR,,,,,,,,,
Financial,CHESAPEAKE LODGING TRUST,CHSP,US1652401027,CHSP,,,,,,,,,
Utilities,CHESAPEAKE UTILITIES CORP,CPK,US1653031088,CPK,,,,,,,,,
Financial,CP1 LTD,CPK,AU000000CPK6,CPK,,,,,,,,,
Financial,CHESNARA PLC,SSMM,GB00B00FPT80,CSN,CHESNARA PLC,United Kingdom,LSE,GBP,,,,,
Financial,CREDIT SUISSE GROUP-SPON ADR,CSN,US2254011081,CSN,,,,,,,,,
Financial,CREDIT SUISSE GROUP-SPON ADR,CS,US2254011081,CS,,,,,,,,,
Technology,CSG SYSTEMS INTL INC,XETRA,US1263491094,CSN,,,,,CSG Systems International Inc,NASDAQ,Equity,United States,126349109
Basic Materials,CHESSER RESOURCES LTD,CHZ,AU000000CHZ1,CHZ,CHESSER RESOURCES LTD,Australia,ASX,AUD,,,,,
Financial,CHINA RESOURCES LAND LTD,XETRA,KYG2108Y1052,CHZ,,,,,,,,,
Financial,CHINA RESOURCES LAND LTD,1109,KYG2108Y1052,1109,,,,,,,,,
"Consumer, Non-cyclical",HRNETGROUP LTD,CHZ,SG1DH2000003,CHZ,HRNETGROUP LTD,Singapore,SGX,SGD,,,,,
,CALAMOS GLOBAL DYNAMIC INCOM,NMS,US12811L1070,CHW,,,,,,,,,
Financial,CHESSWOOD GROUP LTD,CHW,CA16550A1075,CHW,,,,,,,,,
Basic Materials,CHESTER MINING CO,NOINFO,US1658791074,CHMN,,,,,,,,,
Basic Materials,COMPASS GOLD CORP,CVB,CA20451T4054,CVB,,,,,,,,,
"Consumer, Non-cyclical",CHEVIOT BRIDGE LTD,CVB,AU000000CVB3,CVB,,,,,,,,,
Industrial,CEMATRIX CORP,CVX,CA15120R1038,CVX,,,,,,,,,
Communications,CHEWY INC - CLASS A,CHWY,US16679L1098,CHWY,,,,,,,,,
Energy,CHEYENNE RESOURCES CORP,CYRS,US1668711039,CYRS,,,,,,,,,
Industrial,CHI HO DEVELOPMENT HOLDINGS,8423,KYG446491048,8423,,,,,,,,,
"Consumer, Non-cyclical",ODK SOLUTIONS CO LTD,3839,JP3172440004,3839,ODK SOLUTIONS CO LTD,Japan,TSEJ,JPY,,,,,
"Consumer, Non-cyclical",CHIA TAI ENTERPRISES INTERNA,3839,BMG2151A1036,3839,,,,,,,,,
"Consumer, Non-cyclical",CHIASMA INC,CHMA,US16706W1027,CHMA,,,,,,,,,
Financial,CHIBA BANK LTD/THE,8331,JP3511800009,8331,CHIBA BANK LTD/THE,Japan,TSEJ,JPY,,,,,
Basic Materials,P.B. GROUP LTD,8331,KYG7308C1188,8331,,,,,,,,,
Financial,CHIBA KOGYO BANK LTD/THE,8337,JP3512200001,8337,CHIBA KOGYO BANK LTD/THE,Japan,TSEJ,JPY,,,,,
Communications,DIRECTEL HOLDINGS LTD,8337,KYG276801183,8337,,,,,,,,,
Basic Materials,COLIBRI RESOURCES CORP,CBI,CA1941683080,CBI,,,,,,,,,
Industrial,CHICAGO BRIDGE & IRON CO NV,CBI,US1672501095,CBI,,,,,,,,,
"Consumer, Non-cyclical",CLAL BIOTECHNOLOGY INDUSTRIE,CBI,IL0011042806,CBI,,,,,,,,,
Industrial,CHICHIBU RAILWAY CO LTD,9012,JP3509800003,9012,CHICHIBU RAILWAY CO LTD,Japan,TSEJ,JPY,,,,,
"Consumer, Cyclical",CHICKEN SOUP FOR THE SOUL EN,NMS,US16842Q1004,CSSE,,,,,,,,,
Basic Materials,CHIFENG JILONG GOLD MINING-A,600988,CNE000001H94,600988,CHIFENG JILONG GOLD MINING-A,China,SEHKNTL,CNH,,,,,
"Consumer, Cyclical",CHIKARANOMOTO HOLDINGS CO LT,3561,JP3507780009,3561,CHIKARANOMOTO HOLDINGS CO LT,Japan,TSEJ,JPY,,,,,
Energy,SOLARTECH ENERGY CORP,3561,TW0003561007,3561,,,,,,,,,
"Consumer, Cyclical",CHILDREN'S PLACE INC/THE,NMS,US1689051076,PLCE,,,,,,,,,
Energy,CHEMX MATERIALS LTD,CMX,AU0000190290,CMX,,,,,,,,,
Industrial,CHILLED & FROZEN LOGISTICS H,9099,JP3346180007,9099,CHILLED & FROZEN LOGISTICS H,Japan,TSEJ,JPY,,,,,
Energy,CHIMERA ENERGY CORP,CHMR,US16934U1007,CHMR,,,,,,,,,
Financial,CHIMERA INVESTMENT CORP,CIM,US16934Q2084,CIM,CHIMERA INVESTMENT CORP,United States of America,NYSE,USD,Chimera Investment Corporation,NYSE,Equity,United States,16934Q208
Financial,CHIMERA INVESTMENT CORP,CIM,US16934Q2084,CIM,CIMIC GROUP LTD,Australia,ASX,AUD,Chimera Investment Corporation,NYSE,Equity,United States,16934Q208
Financial,CIM INTERNATIONAL GROUP INC,CIM,CA12552T1030,CIM,,,,,,,,,
Industrial,CIMIC GROUP LTD,CIM,AU000000CIM7,CIM,,,,,,,,,
"Consumer, Non-cyclical",CHIMERIX INC,NMS,US16934W1062,CMRX,,,,,,,,,
"Consumer, Cyclical",CHIMNEY CO LTD,3178,JP3512720008,3178,CHIMNEY CO LTD,Japan,TSEJ,JPY,,,,,
Communications,CARSALES.COM LTD-NEW SHARES,CARN,AU0000151011,CARN,,,,,,,,,
,CHINA AFRICA RESOURCES NAMIBIA (PTY) LTD,CARN,CARNDUMY2016,CARN,,,,,,,,,
Basic Materials,CHINA AGRITECH INC,CAGC,US16937A2006,CAGC,,,,,,,,,
Industrial,FUJI PS CORP,1848,JP3820650004,1848,,,,,,,,,
Industrial,CHINA AIRCRAFT LEASING GROUP,1848,KYG211241057,1848,,,,,,,,,
Communications,CHINA ALL ACCESS HOLDINGS,633,KYG211341048,633,,,,,,,,,
Industrial,TOMITA ELECTRIC CO LTD,6898,JP3630700007,6898,,,,,,,,,
Industrial,CHINA ALUMINUM CANS HOLDINGS,6898,KYG211551091,6898,,,,,,,,,
,NEXT NOTES JE HI BETA 30 ETN,2068,JP5528410003,2068,,,,,,,,,
Industrial,CHINA ALUMINUM INTERNATION-H,2068,CNE100001F78,2068,CHINA ALUMINUM INTERNATION-H,Hong Kong,SEHK,HKD,,,,,
"Consumer, Non-cyclical",CHINA ANIMAL HEALTHCARE LTD,44204,BMG211151037,44204,,,,,,,,,
,SIMPLEX CHINA 2X HSCEI ETF,1572,JP3047520006,1572,,,,,,,,,
"Consumer, Non-cyclical",CHINA ART FINANCIAL HOLDINGS,1572,KYG2120M1050,1572,,,,,,,,,
"Consumer, Non-cyclical",FINCANNA CAPITAL CORP,CALI,CA31773B5018,CALI,,,,,,,,,
Industrial,CHINA AUTOMATION GROUP,569,KYG2112N1117,569,,,,,,,,,
"Consumer, Non-cyclical",VICPLAS INTERNATIONAL LTD,569,SG1G57870584,569,VICPLAS INTERNATIONAL LTD,Singapore,SGX,SGD,,,,,
"Consumer, Cyclical",CHINA AUTOMOTIVE SYSTEMS INC,SCM,US16936R1059,CAAS,CHINA AUTOMOTIVE SYSTEMS INC,Germany,NASDAQ,USD,China Automotive Systems Inc,NASDAQ,Equity,United States,16936R105
"Consumer, Cyclical",CHINA AVIATION OIL SINGAPORE,G92,SG1T06929205,G92,CHINA AVIATION OIL SINGAPORE,Singapore,SGX,SGD,,,,,
Industrial,CHINA AVIONICS SYSTEMS CO -A,600372,CNE0000018C0,600372,CHINA AVIONICS SYSTEMS CO -A,China,SEHKNTL,CNH,,,,,
Industrial,CHINA BAOAN GROUP-A,000009,CNE000000222,000009,CHINA BAOAN GROUP-A,China,SEHKSZSE,CNH,,,,,
Communications,UZABASE INC,3966,JP3944390008,3966,UZABASE INC,Japan,TSEJ,JPY,,,,,
Utilities,CHINA BAOFENG INTERNATIONAL,3966,KYG2119C1006,3966,,,,,,,,,
Industrial,CHINA BESTER GROUP TELECOM-A,603220,CNE100003F35,603220,CHINA BESTER GROUP TELECOM-A,China,SEHKNTL,CNH,,,,,
"Consumer, Non-cyclical",CHINA BIOLOGIC PRODUCTS HOLD,CBPO,KYG215151047,CBPO,,,,,,,,,
"Consumer, Non-cyclical",CHINA BIOPHARMA INC,CHBO,US16937L2060,CHBO,,,,,,,,,
Technology,ORO CO LTD,3983,JP3201900002,3983,ORO CO LTD,Japan,TSEJ,JPY,,,,,
Basic Materials,CHINA BLUECHEMICAL LTD - H,3983,CNE1000002D0,3983,CHINA BLUECHEMICAL LTD - H,Hong Kong,SEHK,HKD,,,,,
"Consumer, Cyclical",CHINA CALXON GROUP CO LTD-A,000918,CNE000000ZM8,000918,CHINA CALXON GROUP CO LTD-A,China,SEHKSZSE,CNH,,,,,
Industrial,CHINA CARBON GRAPHITE GROUP,LIMITED,US16936H1077,CHGI,,,,,,,,,
Industrial,CONSOLIDATED CONSTRUCTION CO,CCCL,INE429I01024,CCCL,,,,,,,,,
Technology,CYNERGISTEK INC/DE,CTEK,US23258P1057,CTEK,,,,,,,,,
Energy,CLEANTEK INDUSTRIES INC,CTEK,CA18453K2083,CTEK,,,,,,,,,
,GX CLEANTECH UCITS,EUET,IE00BMH5YL08,CTEK,,,,,,,,,
"Consumer, Non-cyclical",CHINA CHAINTEK UNITED CO LTD,CTEK,KYG2115W1006,CTEK,,,,,,,,,
"Consumer, Cyclical",CTEK AB,CTEK,SE0016798763,CTEK,,,,,,,,,
Basic Materials,CHINA CHEMICAL CORP,NOINFO,US1693861098,CHCC,,,,,,,,,
Energy,CHINA CLEAN ENERGY INC,NOINFO,US16939E1010,CCGY,,,,,,,,,
Energy,CHINA COAL CORP,CKO,CA16890Q1019,CKO,,,,,,,,,
Industrial,SEIKITOKYU KOGYO CO LTD,1898,JP3414600001,1898,SEIKITOKYU KOGYO CO LTD,Japan,TSEJ,JPY,,,,,
Energy,CHINA COAL XINJI ENERGY CO-A,601918,CNE1000008D7,601918,CHINA COAL XINJI ENERGY CO-A,China,SEHKNTL,CNH,,,,,
"Consumer, Non-cyclical",GLOBAL DRAGON LTD,586,SG1H06873795,586,GLOBAL DRAGON LTD,Singapore,SGX,SGD,,,,,
Industrial,CHINA CONCH VENTURE HOLDINGS,586,KYG2116J1085,586,,,,,,,,,
Communications,CHINA CRESCENT ENTERPRISES,NOINFO,US16945G2075,CCTR,,,,,,,,,
Industrial,MORIYA CORP,1798,JP3927400006,1798,MORIYA CORP,Japan,TSEJ,JPY,,,,,
Utilities,CHINA DATANG CORP RENEWABL-H,1798,CNE100000X69,1798,CHINA DATANG CORP RENEWABL-H,Hong Kong,SEHK,HKD,,,,,
Financial,CHINA DEVELOPMENT BANK INTER,1062,KYG2125D1007,1062,,,,,,,,,
"Consumer, Cyclical",CHINA DONGXIANG GROUP CO,3818,KYG2112Y1098,3818,,,,,,,,,
"Consumer, Non-cyclical",CHINA EDUCATION GROUP HOLDIN,839,KYG2163M1033,839,,,,,,,,,
"Consumer, Non-cyclical",CHINA EDUCATION RESOURCES IN,LIMITED,CA16938U1066,CHNUF,,,,,,,,,
"Consumer, Non-cyclical",CHINA EDUCATION RESOURCES IN,CHN,CA16938U1066,CHN,,,,,,,,,
Industrial,CHINA ELECTRIC MOTOR INC,CELM,US16890A2050,CELM,,,,,,,,,
Communications,CHINA ENERGINE INTERNATIONAL,1185,KYG215511091,1185,,,,,,,,,
Technology,SIGNPOST CORP,3996,JP3312170008,3996,SIGNPOST CORP,Japan,TSEJ,JPY,,,,,
Industrial,CHINA ENERGY ENGINEERING C-H,3996,CNE1000023C8,3996,CHINA ENERGY ENGINEERING C-H,Hong Kong,SEHK,HKD,,,,,
Energy,CHINA ENERGY RECOVERY INC,NOINFO,US16943V2060,CGYV,,,,,,,,,
Financial,CHINA ENTERPRISE CO LTD - A,600675,CNE000000B42,600675,CHINA ENTERPRISE CO LTD - A,China,SEHKNTL,CNH,,,,,
Financial,CHINA ENTERPRISES LTD,CSHEF,BMG2109M1001,CSHEF,,,,,,,,,
Financial,CHINA EVERBRIGHT BANK CO L-H,6818,CNE100001QW3,6818,CHINA EVERBRIGHT BANK CO L-H,Hong Kong,SEHK,HKD,,,,,
Financial,CHINA EVERBRIGHT BANK CO-A,601818,CNE100000SL4,601818,CHINA EVERBRIGHT BANK CO-A,China,SEHKNTL,CNH,,,,,
Energy,CHINA EVERBRIGHT GREENTECH L,1257,KYG2R55E1030,1257,,,,,,,,,
Industrial,CHINA EVERBRIGHT WATER LTD,U9E,BMG2116Y1057,U9E,,,,,,,,,
"Consumer, Cyclical",ASAHI CO LTD,3333,JP3110500000,3333,,,,,,,,,
Financial,CHINA EVERGRANDE GROUP,3333,KYG2119W1069,3333,,,,,,,,,
Industrial,CHINA FANGDA GROUP CO LTD-A,000055,CNE000000JY7,000055,CHINA FANGDA GROUP CO LTD-A,China,SEHKSZSE,CNH,,,,,
"Consumer, Cyclical",CHINA FILM CO LTD-A,600977,CNE100002GX0,600977,CHINA FILM CO LTD-A,China,SEHKNTL,CNH,,,,,
Financial,CHINA FINANCIAL LEASING GRP,2312,KYG2153Z1972,2312,,,,,,,,,
"Consumer, Cyclical",CHINA FIRST CAPITAL GROUP LT,1269,KYG2114R1368,1269,,,,,,,,,
"Consumer, Non-cyclical",CHINA FISHERY GROUP LTD,B0Z,KYG211001212,B0Z,,,,,,,,,
Basic Materials,CHINA FORESTRY HOLDINGS CO,44302,KYG2113A1004,44302,,,,,,,,,
Financial,CHINA FORTUNE LAND DEVELOP-A,600340,CNE000001GG8,600340,CHINA FORTUNE LAND DEVELOP-A,China,SEHKNTL,CNH,,,,,
"Consumer, Non-cyclical",CHINA FRUITS CORP,CHFR,US16938V2034,CHFR,,,,,,,,,
,CHINA FUND INC,CHN,US1693731077,CHN,CHINA FUND INC,United States of America,NYSE,USD,China Fund Inc,NYSE,Equity,United States,169373107
Industrial,KYODEN CO LTD,6881,JP3250200007,6881,,,,,,,,,
Financial,CHINA GALAXY SECURITIES CO-H,6881,CNE100001NT6,6881,CHINA GALAXY SECURITIES CO-H,Hong Kong,SEHK,HKD,,,,,
Financial,CHINA GEM HOLDINGS LTD,1191,BMG2116X1074,1191,,,,,,,,,
Industrial,CHINA GENGSHENG MINERALS INC,NOINFO,US16942P1012,CHGS,,,,,,,,,
Communications,CHINA GEOTHERMAL INDUSTRY DE,8128,KYG2127R1074,8128,,,,,,,,,
Industrial,CHINA GEZHOUBA GROUP CO LT-A,600068,CNE000000QF1,600068,,,,,,,,,
"Consumer, Non-cyclical",CHINA GINGKO EDUCATION GROUP,1851,KYG2121K1085,1851,,,,,,,,,
"Consumer, Non-cyclical",CHINA GINSENG HOLDINGS INC,CSNG,US16938K1088,CSNG,,,,,,,,,
Basic Materials,CHINA GOLD INTERNATIONAL RES,2099,CA16890P1036,2099,,,,,,,,,
"Consumer, Cyclical",XEBIO HOLDINGS CO LTD,8281,JP3428800001,8281,XEBIO HOLDINGS CO LTD,Japan,TSEJ,JPY,,,,,
"Consumer, Non-cyclical",CHINA GOLDEN CLASSIC GROUP L,8281,KYG2119E1061,8281,,,,,,,,,
Financial,CONTANGO ASSET MANAGEMENT LT,CGA,AU000000CGA6,CGA,,,,,,,,,
Basic Materials,CHINA GREEN AGRICULTURE INC,CGA,US16943W2044,CGA,CHINA GREEN AGRICULTURE INC,United States of America,NYSE,USD,China Green Agriculture Inc,NYSE,Equity,United States,16943W204
Basic Materials,CHINA GREEN AGRICULTURE INC,CGA,US16943W2044,CGA,CONTANGO ASSET MANAGEMENT LT,Australia,ASX,AUD,China Green Agriculture Inc,NYSE,Equity,United States,16943W204
"Consumer, Non-cyclical",CHINA GREEN HOLDINGS LTD,904,BMG211801235,904,,,,,,,,,
Technology,GMO GLOBALSIGN HOLDINGS KK,3788,JP3386040004,3788,,,,,,,,,
Basic Materials,CHINA HANKING HOLDINGS LTD,3788,KYG2115G1055,3788,CHINA HANKING HOLDINGS LTD,Hong Kong,SEHK,HKD,,,,,
"Consumer, Non-cyclical",CHINA HEALTH INDUSTRIES HOLD,CURRENT,US1693981045,CHHE,,,,,,,,,
Financial,CHINA HOLDINGS INC,NOINFO,US16942B1026,CHHL,,,,,,,,,
"Consumer, Cyclical",CHINA HONG KONG PHOTO PRODUC,1123,BMG2106Y1075,1123,,,,,,,,,
Basic Materials,CHINA HONGQIAO GROUP LTD,1378,KYG211501005,1378,CHINA HONGQIAO GROUP LTD,Hong Kong,SEHK,HKD,,,,,
Industrial,CHINA HUARONG ENERGY CO LTD,1101,KYG2116D1198,1101,CHINA HUARONG ENERGY CO LTD,Hong Kong,SEHK,HKD,,,,,
"Consumer, Non-cyclical",CHINA HUISHAN DAIRY HOLDINGS,44393,KYG2117A1067,44393,,,,,,,,,
Financial,CHINA INNOVATION INVESTMENT,1217,KYG2112R1048,1217,,,,,,,,,
Energy,CHINA INTEGRATED ENERGYINC,CBEH,US16948P1057,CBEH,,,,,,,,,
Industrial,CHINA INTERNATIONAL HOLDINGS,BEH,BMG2113G1151,BEH,,,,,,,,,
,NEXT NOTES NIKKEI JPX INVERS,2039,JP5528270001,2039,,,,,,,,,
Industrial,CHINA INTERNATIONAL MARINE-H,2039,CNE100001NN9,2039,CHINA INTERNATIONAL MARINE-H,Hong Kong,SEHK,HKD,,,,,
Financial,CHINA INVESTMENT DEVELOPMENT,204,BMG2115B1303,204,,,,,,,,,
"Consumer, Cyclical",CHINA JICHENG HOLDINGS LTD,1027,KYG2163B1564,1027,,,,,,,,,
Financial,CHINA JINMAO HOLDINGS GROUP,817,HK0817039453,817,CHINA JINMAO HOLDINGS GROUP,Hong Kong,SEHK,HKD,,,,,
"Consumer, Cyclical",CHINA JO-JO DRUGSTORES HOLDI,SCM,KYG2124G1120,CJJD,CHINA JO-JO DRUGSTORES INC,United States of America,NASDAQ,USD,China Jo-Jo Drugstores Inc,NASDAQ,Equity,United States,16949A206
Industrial,CHINA JUSHI CO LTD -A,600176,CNE000000YM1,600176,CHINA JUSHI CO LTD -A,China,SEHKNTL,CNH,,,,,
"Consumer, Non-cyclical",CHINA KANGDA FOOD CO LTD,P74,BMG2110F1023,P74,,,,,,,,,
Industrial,TOYO CONSTRUCTION CO LTD,1890,JP3609800002,1890,TOYO CONSTRUCTION CO LTD,Japan,TSEJ,JPY,,,,,
"Consumer, Non-cyclical",CHINA KEPEI EDUCATION GROUP,1890,KYG2122A1094,1890,,,,,,,,,
Industrial,CHINA LESSO GROUP HOLDINGS L,2128,KYG2157Q1029,2128,,,,,,,,,
,IFREE ETF CHINA STAR50,2628,JP3049230000,2628,,,,,,,,,
Financial,CHINA LIFE INSURANCE CO-H,2628,CNE1000002L3,2628,CHINA LIFE INSURANCE CO-H,Germany,SEHK,HKD,,,,,
Financial,CHINA LIFE INSURANCE CO-H,XETRA,CNE1000002L3,CHL,CHINA LIFE INSURANCE CO-H,Germany,SEHK,HKD,,,,,
"Consumer, Cyclical",CHINA LILANG LTD,1234,KYG211411098,1234,CHINA LILANG LTD,Hong Kong,SEHK,HKD,,,,,
Industrial,CHINA LOGISTICS GROUP INC,CHLO,US16944B1008,CHLO,,,,,,,,,
"Consumer, Cyclical",CHINA LONGEVITY GROUP CO LTD,1863,KYG2133P1037,1863,,,,,,,,,
Industrial,CHINA LUDAO TECHNOLOGY CO LT,2023,KYG215821045,2023,,,,,,,,,
Industrial,CHINA MACHINERY ENGINEERIN-H,1829,CNE100001NP4,1829,,,,,,,,,
Basic Materials,COMMERCIAL METALS CO,CMC,US2017231034,CMC,,,,,,,,,
Basic Materials,COMMERCIAL METALS CO,XETRA,US2017231034,CMS,,,,,,,,,
Financial,JPMORGAN CHASE & CO,XETRA,US46625H1005,CMC,JPMORGAN CHASE & CO,United States of America,US Exchange,,JPMorgan Chase & Co,NYSE,Equity,United States,46625H100
Financial,JPMORGAN CHASE & CO,JPM,US46625H1005,JPM,JPMORGAN CHASE & CO,United States of America,US Exchange,,JPMorgan Chase & Co,NYSE,Equity,United States,46625H100
Industrial,CIELO WASTE SOLUTIONS CORP,CMC,CA17178G1046,CMC,,,,,,,,,
Basic Materials,CHINA MAGNESIUM CORP LTD,CMC,AU000000CMC0,CMC,,,,,,,,,
Basic Materials,COMECO SA,CMC,PLCOMEC00016,CMC,,,,,,,,,
"Consumer, Non-cyclical",CHINA MARINE FOOD GROUP LTD,NOINFO,US16943R1068,CMFO,,,,,,,,,
Communications,CHINA MEDIAEXPRESS HOLDINGS,CCME,US1694421009,CCME,,,,,,,,,
,COBA CCBI RQFII MM UCITS EUR,ETF,GB00BVJF7F66,CCME,,,,,,,,,
"Consumer, Non-cyclical",CHINA MEDICINE CORP,NOINFO,US1694911074,CHME,,,,,,,,,
"Consumer, Cyclical",CHINA MEHECO CO LTD -A,600056,CNE000000Q29,600056,CHINA MEHECO CO LTD -A,China,SEHKNTL,CNH,,,,,
"Consumer, Cyclical",CHINA MEIDONG AUTO HOLDINGS,1268,KYG211921021,1268,,,,,,,,,
"Consumer, Non-cyclical",CHINA MENGNIU DAIRY CO,2319,KYG210961051,2319,,,,,,,,,
Technology,SEGUE GROUP CO LTD,3968,JP3421350004,3968,SEGUE GROUP CO LTD,Japan,TSEJ,JPY,,,,,
Financial,CHINA MERCHANTS BANK - H,3968,CNE1000002M1,3968,CHINA MERCHANTS BANK - H,Hong Kong,SEHK,HKD,,,,,
Industrial,CHINA MERCHANTS ENERGY -A,601872,CNE000001PQ8,601872,CHINA MERCHANTS ENERGY -A,China,SEHKNTL,CNH,,,,,
Financial,CHINA MERCHANTS PROPERTY O-A,001914,CNE000000H95,001914,CHINA MERCHANTS PROPERTY O-A,China,SEHKSZSE,CNH,,,,,
"Consumer, Non-cyclical",ELAN CORP,6099,JP3167680002,6099,ELAN CORP,Japan,TSEJ,JPY,,,,,
