country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,fuzz_socre1,fuzz_socre2
hong kong,China Merchants Land,China Merchants Land Ltd,HKD,0978,equity,KYG210AW1064,CHINA MERCHANTS LAND LTD,100,91
hong kong,China Minsheng Financial Holding,China Minsheng Financial Holding Corp Ltd,HKD,0245,equity,HK0000268943,CHINA MINSHENG FINANCIAL HOL,81,93
germany,China Mobile,China Mobile Ltd,EUR,0941,equity,HK0941009539,CHINA MOBILE LTD,100,86
hong kong,China Modern Dairy,China Modern Dairy Holdings Ltd,HKD,1117,equity,KYG215791008,CHINA MODERN DAIRY HOLDINGS,93,80
hong kong,China Motor Bus,China Motor Bus Co Ltd,HKD,0026,equity,HK0026000205,CHINA MOTOR BUS CO,90,91
china,China National Chemical,China National Chemical Engineering Co Ltd,CNY,601117,equity,CNE100000KC0,CHINA NATIONAL CHEMICAL-A,69,96
china,China National Nuclear Power,China National Nuclear Power Co Ltd,CNY,601985,equity,CNE1000022N7,CHINA NATIONAL NUCLEAR POW-A,83,93
china,China National Software,China National Software & Service Co Ltd,CNY,600536,equity,CNE000001BB0,CHINA NATIONAL SOFTWARE -A,73,96
united states,China Natural Resources,China Natural Resources Inc,USD,CHNR,equity,VGG2110U1093,CHINA NATURAL RESOURCES INC,100,92
china,China Nuclear Engineering,China Nuclear Engineering Corp Ltd,CNY,601611,equity,CNE100002896,CHINA NUCLEAR ENGINEERING -A,82,96
hong kong,China Oil and Gas,China Oil and Gas Group Ltd,HKD,0603,equity,BMG2155W1010,CHINA OIL AND GAS GROUP LTD,100,77
hong kong,China Oil Gangran Energy,China Oil Gangran Energy Group Holdings Ltd,HKD,8132,equity,KYG2162K1168,CHINA OIL GANGRAN ENERGY GRO,79,92
hong kong,China Oilfield Services,China Oilfield Services Ltd,HKD,2883,equity,CNE1000002P4,CHINA OILFIELD SERVICES-H,92,96
hong kong,China Oriental,China Oriental Group Co Ltd,HKD,0581,equity,BMG2108V1019,CHINA ORIENTAL GROUP CO LTD,100,68
hong kong,China Petrol & Chemical H,China Petroleum & Chemical Corp Class H,HKD,0386,equity,CNE1000002Q2,CHINA PETROLEUM & CHEMICAL-H,83,94
hong kong,China Railway,China Railway Construction-H,HKD,1186,equity,CNE100000981,CHINA RAILWAY CONSTRUCTION-H,100,63
hong kong,China Reinsurance,China Reinsurance Group Corp,HKD,1508,equity,CNE100002342,CHINA REINSURANCE GROUP CO-H,93,76
hong kong,China Renaissance Holdings,China Renaissance Holdings,HKD,1911,equity,KYG212151016,CHINA RENAISSANCE HOLDINGS L,96,96
hong kong,China Resources Beer Holdings,China Resources Beer Holdings Co Ltd,HKD,0291,equity,HK0291001490,CHINA RESOURCES BEER HOLDING,88,98
hong kong,China Resources Gas,China Resources Gas Group Ltd,HKD,1193,equity,BMG2113B1081,CHINA RESOURCES GAS GROUP LT,98,81
hong kong,China Resources Land,China Resources Land Ltd,HKD,1109,equity,KYG2108Y1052,CHINA RESOURCES LAND LTD,100,91
hong kong,China Shanshui Cement,China Shanshui Cement Group Ltd,HKD,0691,equity,KYG2116M1015,CHINA SHANSHUI CEMENT GROUP,93,88
hong kong,China Shengmu Organic Milk,China Shengmu Organic Milk Ltd,HKD,1432,equity,KYG2117U1022,CHINA SHENGMU ORGANIC MILK,93,100
hong kong,China Shenhua Energy H,China Shenhua Energy Co Ltd H,HKD,1088,equity,CNE1000002R0,CHINA SHENHUA ENERGY CO - H,93,94
hong kong,China Smartpay,China Smartpay Group Holdings Ltd,HKD,8325,equity,KYG2116H1020,CHINA SMARTPAY GROUP HOLDING,92,67
hong kong,China South City,China South City Holdings Ltd,HKD,1668,equity,HK0000056264,CHINA SOUTH CITY HOLDINGS,93,78
hong kong,China Southern Airlines,China Southern Airlines Co Ltd,HKD,1055,equity,CNE1000002T6,CHINA SOUTHERN AIRLINES CO-H,93,90
china,China Spacesat,China Spacesat Co Ltd,CNY,600118,equity,CNE000000SM3,CHINA SPACESAT CO LTD -A,95,76
hong kong,China Star Entertainment Ltd,China Star Entertainment Ltd,HKD,0326,equity,BMG8437G3195,CHINA STAR ENTERTAINMENT LTD,100,100
china,China TV Media,China Television Media Ltd,CNY,600088,equity,CNE000000QY2,CHINA TELEVISION MEDIA LTD-A,96,67
hong kong,China Tian Lun Gas,China Tian Lun Gas Holdings Ltd,HKD,1600,equity,KYG843961031,CHINA TIAN LUN GAS HOLDINGS,93,80
china,China Tianying Inc,China Tianying Inc,CNY,000035,equity,CNE000000FN8,CHINA TIANYING INC-A,95,95
hong kong,China Tobacco International HK,China Tobacco International HK Co Ltd,HKD,6055,equity,HK0000503208,CHINA TOBACCO INTERNATIONAL,84,95
hong kong,China Tontine Wines,China Tontine Wines Group Ltd,HKD,0389,equity,BMG215A41075,CHINA TONTINE WINES GROUP,93,86
hong kong,China Trends Holdings,China Trends Holdings Ltd,HKD,8171,equity,KYG2111U1085,CHINA TRENDS HOLDINGS LTD,100,91
hong kong,China Trustful,China Trustful Group Ltd,HKD,8265,equity,BMG2120V1054,CHINA TRUSTFUL GROUP LTD,100,74
hong kong,China Unicom Hong Kong,China Unicom Hong Kong Ltd,HKD,0762,equity,HK0000049939,CHINA UNICOM HONG KONG LTD,100,92
china,Union Hldgs A,China Union Holdings Ltd,CNY,000036,equity,CNE000000G13,CHINA UNION HOLDINGS LTD-A,96,67
hong kong,China Water Affairs Group Ltd,China Water Affairs Group Ltd,HKD,0855,equity,BMG210901242,CHINA WATER AFFAIRS GROUP,93,93
china,China World Trade Center,China World Trade Center Co Ltd,CNY,600007,equity,CNE000000YH1,CHINA WORLD TRADE CENTER-A,84,96
china,China Wuyi A,China Wuyi Co Ltd,CNY,000797,equity,CNE000000SD2,CHINA WUYI CO LTD-A,94,77
china,China XD Electric,China XD Electric Co Ltd,CNY,601179,equity,CNE100000KW8,CHINA XD ELECTRIC CO LTD-A,96,79
china,China Yangtze Power,China Yangtze Power Co Ltd,CNY,600900,equity,CNE000001G87,CHINA YANGTZE POWER CO LTD-A,96,81
hong kong,China Yuhua Education,China Yuhua Education Corp Ltd,HKD,6169,equity,KYG2120K1094,CHINA YUHUA EDUCATION CORP L,97,86
hong kong,China Yurun Food,China Yurun Food Group Ltd,HKD,1068,equity,BMG211591018,CHINA YURUN FOOD GROUP LTD,100,76
hong kong,China Zheshang Bank,China Zheshang Bank Co Ltd,HKD,2016,equity,CNE1000025S9,CHINA ZHESHANG BANK CO LTD-H,96,81
hong kong,China Zhongwang,China Zhongwang Holdings Ltd,HKD,1333,equity,KYG215AT1023,CHINA ZHONGWANG HOLDINGS LTD,100,70
united states,Chinanet Online,Chinanet Online Holdings Inc,USD,CNET,equity,US16949H2013,CHINANET ONLINE HOLDINGS INC,100,70
hong kong,ChinaSoft International Ltd,ChinaSoft International Ltd,HKD,0354,equity,KYG2110A1114,CHINASOFT INTERNATIONAL LTD,100,100
hong kong,Chinese Estates,Chinese Estates Holdings Ltd,HKD,0127,equity,BMG2108M2182,CHINESE ESTATES HOLDINGS LTD,100,70
hong kong,Chinney Kin Wing Holdings Ltd,Chinney Kin Wing Holdings Ltd,HKD,1556,equity,BMG2118K1036,CHINNEY KIN WING HOLDINGS LT,98,98
japan,Chiome Bioscience,Chiome Bioscience Inc,JPY,4583,equity,JP3205350006,CHIOME BIOSCIENCE INC,100,89
united states,ChipMOS Tech,ChipMOS Technologies Inc,USD,IMOS,equity,US16965P2020,CHIPMOS TECHNOLOGIES INC-ADR,92,60
mexico,Chipotle Mexican Grill,Chipotle Mexican Grill Inc,MXN,CMG,equity,US1696561059,CHIPOTLE MEXICAN GRILL INC,100,92
israel,Chiron Refineries,Chiron Refineries Ltd,ILS,CHR,equity,IL0004560129,CHIRON REFINERIES LTD,100,89
japan,Chiyoda Ute,Chiyoda Ute Co Ltd,JPY,5387,equity,JP3528500006,CHIYODA UTE CO LTD,100,76
japan,Chodai,Chodai Co Ltd,JPY,9624,equity,JP3527600005,CHODAI CO LTD,100,63
hong kong,Chong Hing Bank,Chong Hing Bank Ltd,HKD,1111,equity,HK1111036765,CHONG HING BANK LTD,100,88
japan,Chori Co Ltd,Chori Co Ltd,JPY,8014,equity,JP3528200003,CHORI CO LTD,100,100
canada,Chorus Aviation,Chorus Aviation Inc,CAD,CHR,equity,CA17040T3001,CHORUS AVIATION INC,100,88
hong kong,Chow Tai Fook Jewellery Group,Chow Tai Fook Jewellery Group Ltd,HKD,1929,equity,KYG211461085,CHOW TAI FOOK JEWELLERY GROU,92,98
united states,Chromadex Corp,Chromadex Corp,USD,CDXC,equity,US1710774076,CHROMADEX CORP,100,100
united states,Chubb,Chubb Ltd,USD,CB,equity,CH0044328745,CHUBB LTD,100,71
japan,"Chubu Electric Power Co., Inc.","Chubu Electric Power Co., Inc.",JPY,9502,equity,JP3526600006,CHUBU ELECTRIC POWER CO INC,100,100
japan,Chudenko Corp,Chudenko Corp,JPY,1941,equity,JP3524000001,CHUDENKO CORP,100,100
japan,Chugai Pharmaceutical,"Chugai Pharmaceutical Co., Ltd.",JPY,4519,equity,JP3519400000,CHUGAI PHARMACEUTICAL CO LTD,100,86
japan,The Chugoku Bank Ltd,The Chugoku Bank Ltd,JPY,8382,equity,JP3521000004,CHUGOKU BANK LTD/THE,100,100
japan,Chugoku Marine Paints,Chugoku Marine Paints Ltd,JPY,4617,equity,JP3522600000,CHUGOKU MARINE PAINTS LTD,100,91
canada,CI Financial Corp,CI Financial Corp,CAD,CIX,equity,CA1254911003,CI FINANCIAL CORP,100,100
sweden,​Cibus Nordic Real Estate,​Cibus Nordic Real Estate,SEK,CIBUS,equity,SE0010832204,CIBUS NORDIC REAL ESTATE AB,94,94
united states,Ciena Corp,Ciena Corp,USD,CIEN,equity,US1717793095,CIENA CORP,100,100
hong kong,CIFI Group Co,CIFI Holdings Group Co Ltd,HKD,0884,equity,KYG2140A1076,CIFI HOLDINGS GROUP CO LTD,100,67
united states,Cimarex Energy,Cimarex Energy Co,USD,XEC,equity,US1717981013,CIMAREX ENERGY CO,100,90
australia,Cimic Group,Cimic Group Ltd,AUD,CIM,equity,AU000000CIM7,CIMIC GROUP LTD,100,85
united states,Cincinnati Bell,Cincinnati Bell Inc,USD,CBB,equity,US1718715022,CINCINNATI BELL INC,100,88
hong kong,Cinda Intl,Cinda International Holdings Ltd,HKD,0111,equity,BMG2143M1082,CINDA INTERNATIONAL HOLDINGS,93,53
china,Cinda Real Estate,Cinda Real Estate Co Ltd,CNY,600657,equity,CNE000000966,CINDA REAL ESTATE CO LTD -A,96,79
united states,Cinedigm,Cinedigm Corp,USD,CIDM,equity,US1724062096,CINEDIGM CORP - A,93,70
united states,Cinemark,Cinemark Holdings Inc,USD,CNK,equity,US17243V1026,CINEMARK HOLDINGS INC,100,55
canada,Cineplex Inc.,Cineplex Inc.,CAD,CGX,equity,CA1724541000,CINEPLEX INC,100,100
canada,Cipher Pharma,Cipher Pharmaceuticals Inc,CAD,CPH,equity,CA17253X1050,CIPHER PHARMACEUTICALS INC,100,67
united states,CIRCOR,CIRCOR International Inc,USD,CIR,equity,US17273K1097,CIRCOR INTERNATIONAL INC,100,40
united states,Cirrus,Cirrus Logic Inc,USD,CRUS,equity,US1727551004,CIRRUS LOGIC INC,100,55
mexico,Cisco,Cisco Systems Inc,MXN,CSCO,equity,US17275R1023,CISCO SYSTEMS INC,100,45
united states,CIT,CIT Group Inc,USD,CIT,equity,US1255818015,CIT GROUP INC,100,38
united states,Citi Trends,Citi Trends Inc,USD,CTRN,equity,US17306X1028,CITI TRENDS INC,100,85
hong kong,CITIC Resources,CITIC Resources Holdings Ltd,HKD,1205,equity,BMG2155Y1075,CITIC RESOURCES HOLDINGS LTD,100,70
hong kong,CITIC Securities,CITIC Securities Co Ltd,HKD,6030,equity,CNE1000016V2,CITIC SECURITIES CO LTD-H,96,78
mexico,Citigroup,Citigroup Inc.,MXN,C,equity,US1729674242,CITIGROUP INC,100,82
united states,Citizens Community,Citizens Community Bancorp Inc,USD,CZWI,equity,US1749031043,CITIZENS COMMUNITY BANCORP I,97,78
united states,Citizens Financial Group Inc,Citizens Financial Group Inc,USD,CFG,equity,US1746101054,CITIZENS FINANCIAL GROUP INC,100,100
united states,Citizens,Citizens Holding Company,USD,CIZN,equity,US1747151025,CITIZENS HOLDING COMPANY,100,50
mexico,Citrix Systems,Citrix Systems Inc,MXN,CTXS,equity,US1773761002,CITRIX SYSTEMS INC,100,88
australia,City Chic Collective,City Chic Collective Ltd,AUD,CCX,equity,AU0000031767,CITY CHIC COLLECTIVE LTD,100,91
china,Citychamp Dartong,Citychamp Dartong Co Ltd,CNY,600067,equity,CNE000000QD6,CITYCHAMP DARTONG CO LTD-A,96,79
hong kong,Citychamp Watch Jewellery,Citychamp Watch & Jewellery Group Ltd,HKD,0256,equity,KYG2161T1004,CITYCHAMP WATCH & JEWELLERY,83,100
united states,Civista Bancshares,Civista Bancshares Inc,USD,CIVB,equity,US1788671071,CIVISTA BANCSHARES INC,100,90
hong kong,CK Asset,CK Asset Holdings Ltd,HKD,1113,equity,KYG2177B1014,CK ASSET HOLDINGS LTD,100,55
hong kong,CK Hutchison,CK Hutchison Holdings Ltd,HKD,0001,equity,KYG217651051,CK HUTCHISON HOLDINGS LTD,100,65
hong kong,CK Infrastructure,CK Infrastructure Holdings Ltd,HKD,1038,equity,BMG2178K1009,CK INFRASTRUCTURE HOLDINGS L,97,76
united states,CKX Lands Inc,CKX Lands Inc,USD,CKX,equity,US12562N1046,CKX LANDS INC,100,100
canada,Clairvest Group Inc.,Clairvest Group Inc.,CAD,CVG,equity,CA17965L1004,CLAIRVEST GROUP INC,100,100
canada,Clarke Inc.,Clarke Inc.,CAD,CKI,equity,CA1819011091,CLARKE INC,100,100
hong kong,Classified,Classified Group Holdings Ltd,HKD,8232,equity,KYG2190B1041,CLASSIFIED GROUP HOLDINGS LT,98,53
united states,Clean Energy,Clean Energy Fuels Corp,USD,CLNE,equity,US1844991018,CLEAN ENERGY FUELS CORP,100,69
united states,Clean Harbors,Clean Harbors Inc,USD,CLH,equity,US1844961078,CLEAN HARBORS INC,100,87
australia,Clean Seas,Clean Seas Seafood Ltd,AUD,CSS,equity,AU000000CSS3,CLEAN SEAS SEAFOOD LTD,100,62
australia,Clean TeQ,Clean TeQ Holdings Ltd,AUD,CLQ,equity,AU000000CLQ2,CLEAN TEQ HOLDINGS LTD,100,58
australia,Cleanaway Waste,Cleanaway Waste Management Ltd,AUD,CWY,equity,AU000000CWY3,CLEANAWAY WASTE MANAGEMENT L,97,70
japan,Cleanup Corp,Cleanup Corp,JPY,7955,equity,JP3270200003,CLEANUP CORP,100,100
united states,Clearfield,Clearfield Inc,USD,CLFD,equity,US18482P1030,CLEARFIELD INC,100,83
united states,ClearOne,ClearOne Inc,USD,CLRO,equity,US18506U1043,CLEARONE INC,100,80
canada,ClearStream Energy,ClearStream Energy Services Inc,CAD,CSM,equity,CA18506V1022,CLEARSTREAM ENERGY SERVICES,93,80
australia,Clearview Wealth,Clearview Wealth Ltd,AUD,CVW,equity,AU000000CVW9,CLEARVIEW WEALTH LTD,100,89
united states,Cleveland BioLabs,Cleveland BioLabs Inc,USD,CBLI,equity,US1858602022,CLEVELAND BIOLABS INC,100,89
australia,Cleveland Mining Co Ltd,Cleveland Mining Co Ltd,AUD,CDG,equity,AU000000CDG0,CLEVELAND MINING CO LTD,100,100
spain,Clever Global,Clever Global SA,EUR,CLE,equity,ES0105152005,CLEVER GLOBAL SA,100,90
australia,Clime Investment Management,Clime Investment Management,AUD,CIW,equity,AU000000CIW6,CLIME INVESTMENT MANAGEMENT,100,100
spain,Clinica Baviera,Clinica Baviera,EUR,CBAV,equity,ES0119037010,CLINICA BAVIERA SA,91,91
australia,Clinuvel Pharmaceuticals,Clinuvel Pharmaceuticals Ltd,AUD,CUV,equity,AU000000CUV3,CLINUVEL PHARMACEUTICALS LTD,100,92
united states,Clorox,Clorox Co,USD,CLX,equity,US1890541097,CLOROX CO,100,80
united kingdom,Cloudcall Group,Cloudcall Group PLC,GBP,CALL,equity,GB00B4XS5145,CLOUDCALL GROUP PLC,100,88
united states,Clough Global Opportunities,Clough Global Opportunities Fund,USD,GLO,equity,US18914E1064,CLOUGH GLBL OPPORTUNITIES FD,93,91
united states,Clough Global,Clough Global Equity Fund,USD,GLQ,equity,US18914C1009,CLOUGH GLOBAL EQUITY FUND,100,68
australia,Clover Corporation Ltd,Clover Corporation Ltd,AUD,CLV,equity,AU000000CLV2,CLOVER CORPORATION LIMITED,92,92
united states,Clovis,Clovis Oncology Inc,USD,CLVS,equity,US1894641000,CLOVIS ONCOLOGY INC,100,48
united states,CLPS,CLPS Inc,USD,CLPS,equity,KYG316421042,CLPS INC,100,67
japan,Cluster Tech,Cluster Technology Co Ltd,JPY,4240,equity,JP3268810003,CLUSTER TECHNOLOGY CO LTD,100,65
japan,CMC,CMC Corp,JPY,2185,equity,JP3347170007,CMC CORP,100,55
united kingdom,CMC Markets,CMC Markets PLC,GBP,CMCX,equity,GB00B14SKR37,CMC MARKETS PLC,100,85
united states,CME Group,CME Group Inc,USD,CME,equity,US12572Q1058,CME GROUP INC,100,82
hong kong,CNC Holdings Ltd,CNC Holdings Ltd,HKD,8356,equity,KYG2238D1043,CNC HOLDINGS LTD,100,100
united states,CNO Financial,CNO Financial Group Inc,USD,CNO,equity,US12621E1038,CNO FINANCIAL GROUP INC,100,72
hong kong,CNQC Int,CNQC International Holdings Ltd,HKD,1240,equity,KYG2238G1073,CNQC INTERNATIONAL HOLDINGS,93,46
united states,Coastal Financial,Coastal Financial Corp,USD,CCB,equity,US19046P2092,COASTAL FINANCIAL CORP/WA,94,81
mexico,Coca-Cola,Coca-Cola Co,MXN,KO,equity,US1912161007,COCA-COLA CO,100,86
united states,Coca-Cola European,Coca-Cola European Partners PLC,USD,CCEP,equity,GB00BDCPN049,COCA-COLA EUROPEAN PARTNERS,93,80
japan,Cocokara Fine Inc,Cocokara Fine Inc,JPY,3098,equity,JP3297330007,COCOKARA FINE INC,100,100
united states,Coda Octopus,Coda Octopus Group Inc,USD,CODA,equity,US19188U2069,CODA OCTOPUS GROUP INC,100,71
australia,Codan,Codan Ltd,AUD,CDA,equity,AU000000CDA3,CODAN LTD,100,71
united states,Codexis,Codexis Inc,USD,CDXS,equity,US1920051067,CODEXIS INC,100,78
united states,Codorus Valley,Codorus Valley Bancorp Inc,USD,CVLY,equity,US1920251048,CODORUS VALLEY BANCORP INC,100,70
united states,Coeur Mining,Coeur Mining Inc,USD,CDE,equity,US1921085049,COEUR MINING INC,100,86
hong kong,COFCO Meat,COFCO Meat Holdings Ltd,HKD,1610,equity,KYG226921008,COFCO MEAT HOLDINGS LTD,100,61
china,COFCO Tunhe Sugar,COFCO Tunhe Sugar Co Ltd,CNY,600737,equity,CNE000000LH8,COFCO TUNHE SUGAR CO LTD-A,96,79
united states,Coffee Holding,Coffee Holding Co Inc,USD,JVA,equity,US1921761052,COFFEE HOLDING CO INC,100,80
israel,Cofix Group,Cofix Group Ltd,ILS,CFX,equity,IL0003890154,COFIX GROUP LTD,100,85
hong kong,Cogobuy Group,Cogobuy Group,HKD,0400,equity,KYG225371072,COGOBUY GROUP,100,100
australia,CogState Ltd,CogState Ltd,AUD,CGS,equity,AU000000CGS8,COGSTATE LTD,100,100
united states,Coherent,Coherent Inc,USD,COHR,equity,US1924791031,COHERENT INC,100,80
united states,Coherus BioSciences,Coherus BioSciences Inc,USD,CHRS,equity,US19249H1032,COHERUS BIOSCIENCES INC,100,90
united states,Cohu,Cohu Inc,USD,COHU,equity,US1925761066,COHU INC,100,67
france,Coil,Coil,EUR,ALCOI,equity,BE0160342011,COIL,100,100
australia,Cokal Ltd,Cokal Ltd,AUD,CKA,equity,AU000000CKA8,COKAL LTD,100,100
canada,Colabor Group Inc.,Colabor Group Inc.,CAD,GCL,equity,CA1926671035,COLABOR GROUP INC,100,100
mexico,Colgate-Palmolive,Colgate-Palmolive Company,MXN,CL,equity,US1941621039,COLGATE-PALMOLIVE CO,76,92
canada,Colibri Resource,Colibri Resource Corp,CAD,CBI,equity,CA1941683080,COLIBRI RESOURCES CORP,98,84
australia,Collection House,Collection House Ltd,AUD,CLH,equity,AU000000CLH1,COLLECTION HOUSE LIMITED,91,80
united states,Collectors Universe,Collectors Universe Inc,USD,CLCT,equity,US19421R2004,COLLECTORS UNIVERSE,90,100
united states,Collegium Pharmaceutical,Collegium Pharmaceutical Inc,USD,COLL,equity,US19459J1043,COLLEGIUM PHARMACEUTICAL INC,100,92
australia,Collins Foods,Collins Foods Ltd,AUD,CKF,equity,AU000000CKF7,COLLINS FOODS LTD,100,87
canada,Colonial Coal International Corp.,Colonial Coal International Corp.,CAD,CAD,equity,CA1956151098,COLONIAL COAL INTERNATIONAL,92,92
united states,Colony Bankcorp,Colony Bankcorp Inc,USD,CBAN,equity,US19623P1012,COLONY BANKCORP,88,100
united states,Columbia Banking,Columbia Banking System Inc,USD,COLB,equity,US1972361026,COLUMBIA BANKING SYSTEM INC,100,74
united states,Columbia Financial,Columbia Financial Inc,USD,CLBK,equity,US1976411033,COLUMBIA FINANCIAL INC,100,90
united states,Columbia Sportswear,Columbia Sportswear Company,USD,COLM,equity,US1985161066,COLUMBIA SPORTSWEAR CO,78,93
united kingdom,Columbus Energy,Columbus Energy Resources PLC,GBP,CERP,equity,GB00BDGJ2R22,COLUMBUS ENERGY RESOURCES,93,75
poland,Comarch SA,Comarch SA,PLN,CMR,equity,PLCOMAR00012,COMARCH SA,100,100
mexico,Comcast,Comcast Corp,MXN,CMCSA,equity,US20030N1019,COMCAST CORP,100,74
united states,Comerica,Comerica Inc,USD,CMA,equity,US2003401070,COMERICA INC,100,80
australia,Comet Ridge Ltd,Comet Ridge Ltd,AUD,COI,equity,AU000000COI3,COMET RIDGE LTD,100,100
united states,Comfort Systems,Comfort Systems USA Inc,USD,FIX,equity,US1999081045,COMFORT SYSTEMS USA INC,100,79
canada,Commander Resources,Commander Resources Ltd,CAD,CMD,equity,CA2005023007,COMMANDER RESOURCES LTD,100,90
united states,Commerce Bancshares,Commerce Bancshares Inc,USD,CBSH,equity,US2005251036,COMMERCE BANCSHARES INC,100,90
united states,Communications Systems,Communications Systems Inc,USD,JCS,equity,US2039001050,COMMUNICATIONS SYSTEMS INC,100,92
united states,Community Bank System,Community Bank System Inc,USD,CBU,equity,US2036071064,COMMUNITY BANK SYSTEM INC,100,91
united states,Community Bankers,Community Bankers Trust Corp,USD,ESXB,equity,US2036121067,COMMUNITY BANKERS TRUST CORP,100,76
united states,Community First Bancshares,Community First Bancshares Inc,USD,CFBI,equity,US20369M1045,COMMUNITY FIRST BANCSHARES I,97,96
united states,Community Health Systems,Community Health Systems Inc,USD,CYH,equity,US2036681086,COMMUNITY HEALTH SYSTEMS INC,100,92
united states,Community Healthcare Trust Inc,Community Healthcare Trust Inc,USD,CHCT,equity,US20369C1062,COMMUNITY HEALTHCARE TRUST I,97,97
united states,Community Trust,Community Trust Bancorp Inc,USD,CTBI,equity,US2041491083,COMMUNITY TRUST BANCORP INC,100,71
united states,Community West Bancshares,Community West Bancshares,USD,CWBC,equity,US2041571017,COMMUNITY WEST BANCSHARES,100,100
united states,CommVault,CommVault Systems Inc,USD,CVLT,equity,US2041661024,COMMVAULT SYSTEMS INC,100,60
united kingdom,Compass,Compass Group PLC,GBP,CPG,equity,GB00BD6K4575,COMPASS GROUP PLC,100,58
united states,Compugen,Compugen Ltd,USD,CGEN,equity,IL0010852080,COMPUGEN LTD,100,80
united kingdom,Computacenter,Computacenter PLC,GBP,CCC,equity,GB00BV9FP302,COMPUTACENTER PLC,100,87
japan,Computer Institute Japan,Computer Institute of Japan Ltd,JPY,4826,equity,JP3346170008,COMPUTER INSTITUTE OF JAPAN,93,94
united states,Computer Programs&Systems,Computer Programs and Systems Inc,USD,CPSI,equity,US2053061030,COMPUTER PROGRAMS & SYSTEMS,86,100
united states,Comscore,Comscore Inc,USD,SCOR,equity,US20564W1053,COMSCORE INC,100,80
united states,Comstock,Comstock Holding Companies Inc,USD,CHCI,equity,US2056842022,COMSTOCK HOLDING COMPANIES,93,47
united states,Comstock Resources,Comstock Resources Inc,USD,CRK,equity,US2057683029,COMSTOCK RESOURCES INC,100,90
japan,Comsys Holdings Corp.,Comsys Holdings Corp.,JPY,1721,equity,JP3305530002,COMSYS HOLDINGS CORP,100,100
united states,Comtech,Comtech Telecommunications Corp,USD,CMTL,equity,US2058262096,COMTECH TELECOMMUNICATIONS,91,42
australia,Concentrated Leaders,Concentrated Leaders Fund Ltd,AUD,CLF,equity,AU0000007320,CONCENTRATED LEADERS FUND LT,98,83
united states,Concert Pharm,Concert Pharmaceuticals Inc,USD,CNCE,equity,US2060221056,CONCERT PHARMACEUTICALS INC,100,65
united states,Concho Resources,Concho Resources Inc,USD,CXO,equity,US20605P1012,CONCHO RESOURCES INC,100,89
hong kong,Concord New Energy,Concord New Energy Group Ltd,HKD,0182,equity,BMG2345T1099,CONCORD NEW ENERGY GROUP LTD,100,78
japan,Concordia Financial Group,Concordia Financial Group Ltd,JPY,7186,equity,JP3305990008,CONCORDIA FINANCIAL GROUP LT,98,94
canada,Condor Petroleum,Condor Petroleum Inc,CAD,CPI,equity,CA20676X3067,CONDOR PETROLEUM INC,100,89
canada,Condor Resources,Condor Resources Inc,CAD,CN,equity,CA20676U1049,CONDOR RESOURCES INC,100,89
japan,Conexio Corp,Conexio Corp,JPY,9422,equity,JP3104870005,CONEXIO CORP,100,100
sweden,Confidence,Confidence International AB,SEK,CONF,equity,SE0012313302,CONFIDENCE INTERNATIONAL-B,98,56
united states,Conifer Holding Inc,Conifer Holding Inc,USD,CNFR,equity,US20731J1025,CONIFER HOLDINGS INC,97,97
canada,Conifex Timber Inc,Conifex Timber Inc,CAD,CFF,equity,CA2073241044,CONIFEX TIMBER INC,100,100
united states,Connecticut Water Service,Connecticut Water Service Inc,USD,CTWS,equity,US2077971016,CONNECTICUT WATER SVC INC,93,80
united states,ConnectOne,ConnectOne Bancorp Inc,USD,CNOB,equity,US20786W1071,CONNECTONE BANCORP INC,100,62
mexico,ConocoPhillips,ConocoPhillips,MXN,COP,equity,US20825C1045,CONOCOPHILLIPS,100,100
united states,Consol Energy,Consol Energy Inc,USD,CEIX,equity,US20854L1089,CONSOL ENERGY INC,100,87
united states,Consolidated Edison,Consolidated Edison Inc,USD,ED,equity,US2091151041,CONSOLIDATED EDISON INC,100,90
united kingdom,Consort,Consort Medical Plc,GBP,CSRT,equity,GB0000946276,CONSORT MEDICAL PLC,100,54
canada,Constantine Metal,Constantine Metal Resources Ltd,CAD,CEM,equity,CA2103172029,CONSTANTINE METAL RESOURCES,93,77
mexico,Constellation Brands A,Constellation Brands Inc,MXN,STZ,equity,US21036P1084,CONSTELLATION BRANDS,91,95
canada,Constellation Software,Constellation Software Inc.,CAD,CSU,equity,CA21037X1006,CONSTELLATION SOFTWARE INC,100,92
united states,Construction Partners,Construction Partners Inc,USD,ROAD,equity,US21044C1071,CONSTRUCTION PARTNERS INC-A,96,88
united states,Consumer Portfolio Services,Consumer Portfolio Services Inc,USD,CPSS,equity,US2105021008,CONSUMER PORTFOLIO SERVICES,93,100
hong kong,Consun Pharma,Consun Pharmaceutical Group Ltd,HKD,1681,equity,KYG2524A1031,CONSUN PHARMACEUTICAL GROUP,93,65
australia,Contact Energy Ltd,Contact Energy Ltd,AUD,CEN,equity,NZCENE0001S6,CONTACT ENERGY LTD,100,100
united states,Contango Oil&Gas,Contango Oil & Gas,USD,MCF,equity,US21075N2045,CONTANGO OIL & GAS,100,100
japan,Contec,Contec Co Ltd,JPY,6639,equity,JP3306030002,CONTEC CO LTD,100,63
