,EOD-Code,EOD-Exchange,EOD-Name,EOD-Type,EOD-Country,EOD-Currency,EOD-ISIN,EOD-previousClose,EOD-previousCloseDate
0,1ST,AU,1stAvailable Ltd,Common Stock,Australia,AUD,AU0000001ST0,0.007,2022-07-20
0,TWOU,US,2U Inc,Common Stock,USA,USD,US90214J1016,11.07,2022-07-20
0,DDDX,US,3Dx Industries Inc,Common Stock,USA,USD,US88556A1007,0.0595,2022-07-20
0,MMM,US,3M Company,Common Stock,USA,USD,US88579Y1010,133.01,2022-07-20
1,MMM,XETRA,3M Company,Common Stock,Germany,EUR,US88579Y1010,130.64,2022-07-20
2,MMM,F,3M Company,Common Stock,Germany,EUR,US88579Y1010,130.6,2022-07-20
3,MMM,SW,3M Company,Common Stock,Switzerland,CHF,US88579Y1010,145.0,2022-07-19
0,MMM,AU,Marley Spoon AGs,Common Stock,Australia,AUD,AU0000013070,0.22,2022-07-20
0,MMM,V,Minco Capital Corp,Common Stock,Canada,CAD,CA6025321036,0.05,2022-07-19
1,MGHCF,US,Minco Capital Corp,Common Stock,USA,USD,CA6025321036,0.04,2022-07-19
2,MI5,F,Minco Capital Corp,Common Stock,Germany,EUR,CA6025321036,0.028,2022-07-20
0,88E,LSE,88 Energy Ltd,Common Stock,UK,GBX,AU00000088E2,0.725,2022-07-20
1,88E,AU,88 Energy Ltd,Common Stock,Australia,AUD,AU00000088E2,0.013,2022-07-20
0,7063,TSE,A Dot Co Ltd,Common Stock,Japan,JPY,JP3160590000,2102.0,2022-07-20
0,AMKBY,US,AP Moeller-Maersk AS,Common Stock,USA,USD,US00202F1021,12.65,2022-07-20
0,AKH,OL,Aker Horizons AS,Common Stock,Norway,NOK,NO0010921232,16.185,2022-07-20
0,5GZ,SG,HGH Holdings Ltd,Common Stock,Singapore,SGD,SG1S12926576,0.012,2022-07-20
0,2018,HK,AAC Technologies Holdings Inc,Common Stock,Hong Kong,HKD,KYG2953R1149,15.88,2022-07-20
1,A2XN,F,AAC Technologies Holdings Inc,Common Stock,Germany,EUR,KYG2953R1149,1.976,2022-07-20
0,2686,TSE,GFoot Co Ltd,Common Stock,Japan,JPY,JP3536900008,323.0,2022-07-20
0,2686,HK,AAG Energy Holdings Ltd,Common Stock,Hong Kong,HKD,KYG000371040,1.45,2022-07-20
0,AAON,US,AAON Inc,Common Stock,USA,USD,US0003602069,55.56,2022-07-20
0,AAALY,US,Aareal Bank AG ADR,Common Stock,USA,USD,US00254K1088,35.3,2022-07-20
0,AARON,NSE,Aaron Industries Limited,Common Stock,India,INR,INE721Z01010,125.45,2022-07-20
0,AARTIDRUGS,NSE,Aarti Drugs Limited,Common Stock,India,INR,INE767A01016,447.9,2022-07-20
1,AARTIDRUGS,BSE,AARTI DRUGS LTD.,Common Stock,India,INR,INE767A01016,447.9,2022-07-20
0,AARTIIND,NSE,Aarti Industries Limited,Common Stock,India,INR,INE769A01020,739.2,2022-07-20
1,AARTIIND,BSE,AARTI INDUSTRIES LTD.,Common Stock,India,INR,INE769A01020,739.6,2022-07-20
0,AAVAS,NSE,Aavas Financiers Limited,Common Stock,India,INR,INE216P01012,2267.5,2022-07-20
1,AAVAS,BSE,AAVAS Financiers Ltd,Common Stock,India,INR,INE216P01012,2268.95,2022-07-20
0,ABDP,LSE,Ab Dynamics,Common Stock,UK,GBX,GB00B9GQVG73,1145.0,2022-07-20
0,ABQQ,US,AB International Group Corp,Common Stock,USA,USD,US00083U2024,0.0063,2022-07-20
0,ABP,AU,Abacus Property Group,Common Stock,Australia,AUD,AU000000ABP9,2.81,2022-07-20
0,ABAN,NSE,Aban Offshore Limited,Common Stock,India,INR,INE421A01028,45.85,2022-07-20
1,ABAN,BSE,ABAN OFFSHORE LTD.,Common Stock,India,INR,INE421A01028,45.8,2022-07-20
0,ATTBF,US,Abattis Bioceuticals Corp,Common Stock,USA,USD,CA00258G1037,0.0,2022-07-20
0,ABB,US,ABB Ltd,Common Stock,USA,USD,US0003752047,28.09,2022-07-20
0,ABB,AU,Aussie Broadband Ltd,Common Stock,Australia,AUD,AU0000106643,3.37,2022-07-20
0,ABB,NSE,ABB India Limited,Common Stock,India,INR,INE117A01022,2598.55,2022-07-20
1,500002,BSE,ABB India Limited,Common Stock,India,INR,INE117A01022,2599.15,2022-07-20
2,ABB,BSE,ABB India Limited,Common Stock,India,INR,INE117A01022,2599.1499,2022-07-20
0,ABBN,SW,ABB Ltd,Common Stock,Switzerland,CHF,CH0012221716,27.32,2022-07-20
1,ABB,ST,ABB Ltd,Common Stock,Sweden,SEK,CH0012221716,287.6,2022-07-20
2,0NX2,LSE,ABB Ltd,Common Stock,UK,SEK,CH0012221716,27.28,2022-07-20
3,ABLZF,US,ABB Ltd,Common Stock,USA,USD,CH0012221716,27.26,2022-07-20
0,ABBOTINDIA,NSE,Abbott India Limited,Common Stock,India,INR,INE358A01014,20014.25,2022-07-20
1,ABBOTINDIA,BSE,ABBOTT INDIA LTD.,Common Stock,India,INR,INE358A01014,19968.4492,2022-07-20
0,ABT,US,Abbott Laboratories,Common Stock,USA,USD,US0028241000,108.23,2022-07-20
1,ABT,SW,Abbott Laboratories,Common Stock,Switzerland,CHF,US0028241000,104.0,2022-07-13
0,ABT,OL,Aqua Bio Technology ASA,Common Stock,Norway,NOK,NO0010307135,8.17,2022-07-20
0,ABBV,US,AbbVie Inc,Common Stock,USA,USD,US00287Y1091,147.69,2022-07-20
1,0QCV,LSE,AbbVie Inc,Common Stock,UK,USD,US00287Y1091,150.74,2022-07-20
2,4AB,XETRA,AbbVie Inc,Common Stock,Germany,EUR,US00287Y1091,146.98,2022-07-20
3,4AB,F,AbbVie Inc,Common Stock,Germany,EUR,US00287Y1091,146.0,2022-07-20
0,ABBY,US,Abby Inc,Common Stock,USA,USD,US00287T3086,0.0,2022-07-20
0,2670,TSE,ABC-Mart Inc,Common Stock,Japan,JPY,JP3152740001,5870.0,2022-07-20
0,ABCE,US,ABCO Energy Inc,Common Stock,USA,USD,US00287V4023,0.0058,2022-07-20
0,ABI,V,Abcourt Mines Inc.,Common Stock,Canada,CAD,CA00288E3005,0.06,2022-07-19
0,ABN,V,Aben Resources Ltd,Common Stock,Canada,CAD,CA00289T3064,0.04,2022-07-20
1,ABNAF,US,Aben Resources Ltd,Common Stock,USA,USD,CA00289T3064,0.0295,2022-07-20
0,ABEO,PA,Abeo SAS,Common Stock,France,EUR,FR0013185857,19.9,2022-07-20
0,ANF,US,Abercrombie & Fitch Company,Common Stock,USA,USD,US0028962076,18.51,2022-07-20
0,AAIF,LSE,abrdn Asian Income Fund Limited,Common Stock,UK,GBX,GB00B0P6J834,214.0,2022-07-20
0,IF,MI,Banca IFIS,Common Stock,Italy,EUR,IT0003188064,12.64,2022-07-20
1,0I6,F,Banca IFIS,Common Stock,Germany,EUR,IT0003188064,12.37,2022-07-20
0,AAB,TO,Aberdeen International Inc.,Common Stock,Canada,CAD,CA0030691012,0.065,2022-07-20
0,JEQ,US,Aberdeen Japan Equity Fund Inc,FUND,USA,USD,US00306J1097,5.71,2022-07-20
0,AJIT,LSE,abrdn Japan Investment Trust PLC,Common Stock,UK,GBX,GB0003920757,545.0,2022-07-20
0,AAS,WAR,Arts Alliance GK SA,Common Stock,Poland,PLN,PLMIDVN00017,20.0,2022-07-19
0,ASIZ,LSE,Aberforth Split Level Income Trust PLC,Common Stock,UK,GBX,GB00BYPBD519,116.0,2022-07-20
0,ABT,US,Abbott Laboratories,Common Stock,USA,USD,US0028241000,108.23,2022-07-20
1,ABT,SW,Abbott Laboratories,Common Stock,Switzerland,CHF,US0028241000,104.0,2022-07-13
0,AQUA,OL,AqualisBraemar LOC ASA,Common Stock,Norway,NOK,NO0010715394,12.75,2022-07-19
0,ABILF,US,Ability Inc,Common Stock,USA,USD,KYG8789K1242,0.2,2022-07-20
0,ABMD,US,ABIOMED Inc,Common Stock,USA,USD,US0036541003,276.16,2022-07-20
0,ABLE,US,Able Energy Inc,Common Stock,USA,USD,US0037091024,0.0001,2022-07-12
0,1627,TSE,NEXT FUNDS TOPIX-17 Electric Power & Gas,ETF,Japan,JPY,JP3046660001,6604.0,2022-07-20
0,1627,HK,Able Engineering Holdings Ltd,Common Stock,Hong Kong,HKD,KYG0R8151046,0.385,2022-07-20
0,ABN,V,Aben Resources Ltd,Common Stock,Canada,CAD,CA00289T3064,0.04,2022-07-20
1,ABNAF,US,Aben Resources Ltd,Common Stock,USA,USD,CA00289T3064,0.0295,2022-07-20
0,ABN,AS,ABN Amro Group NV,Common Stock,Netherlands,EUR,NL0011540547,9.724,2022-07-20
0,ABO,BR,ABO Group,Common Stock,Belgium,EUR,BE0974278104,5.15,2022-07-20
0,ABTZY,US,Aboitiz Equity Ventures Inc ADR,Common Stock,USA,USD,US0037253061,9.73,2022-07-20
0,0533,HK,Goldlion Holdings Ltd,Common Stock,Hong Kong,HKD,HK0533002009,1.41,2022-07-20
0,533,SG,ABR Holdings Limited,Common Stock,Singapore,SGD,SG0533000253,0.465,2022-07-19
0,ABRA,V,AbraSilver Resource Corp,Common Stock,Canada,CAD,CA00379L1067,0.245,2022-07-20
1,ABBRF,US,AbraSilver Resource Corp,Common Stock,USA,USD,CA00379L1067,0.191,2022-07-20
0,BBYL,TA,Abra Information Technologies Ltd,Common Stock,Israel,ILA,IL0011016669,384.9,2022-07-20
1,ABRA,TA,Abra Information Technologies,Common Stock,Israel,ILS,IL0011016669,382.7,2022-07-20
0,AXAS,US,Abraxas Petroleum Corporation,Common Stock,USA,USD,US0038303048,1.71,2022-07-20
0,ABSO,ST,Absolent Group AB,Common Stock,Sweden,SEK,SE0006256558,390.0,2022-07-20
0,541,SG,Abundance International Limited,Common Stock,Singapore,SGD,SG1I02877971,0.027,2022-07-20
0,ACIU,US,AC Immune Ltd,Common Stock,USA,USD,CH0329023102,3.31,2022-07-20
0,ACCA,US,Acacia Diversified Holdings Inc,Common Stock,USA,USD,US00389L1044,0.0002,2022-07-20
0,ACTG,US,Acacia Research Corporation,Common Stock,USA,USD,US0038813079,4.88,2022-07-20
0,AKG,AU,Academies Australasia Group,Common Stock,Australia,AUD,AU000000AKG9,0.28,2022-07-20
0,ANDE,US,The Andersons Inc,Common Stock,USA,USD,US0341641035,32.65,2022-07-20
0,AKG,NSE,Akg Exim Limited,Common Stock,India,INR,INE00Y801016,46.15,2022-07-20
0,ACHC,US,Acadia Healthcare Company Inc,Common Stock,USA,USD,US00404A1097,77.0,2022-07-20
0,ACAD,US,ACADIA Pharmaceuticals Inc,Common Stock,USA,USD,US0042251084,15.09,2022-07-20
0,ACAD,ST,AcadeMedia AB (publ),Common Stock,Sweden,SEK,SE0007897079,48.0,2022-07-20
1,0RHN,LSE,AcadeMedia AB,Common Stock,UK,SEK,SE0007897079,48.1,2022-07-20
0,AKR,US,Acadia Realty Trust,Common Stock,USA,USD,US0042391096,16.78,2022-07-20
0,AKR,V,Ackroo Inc.,Common Stock,Canada,CAD,CA00461T2074,0.07,2022-07-19
0,AEF,AU,Australian Ethical Investment Ltd,Common Stock,Australia,AUD,AU000000AEF4,5.69,2022-07-20
0,AEF,US,Aberdeen Emerging Markets Equity Income Fund,Common Stock,USA,USD,US00301W1053,5.34,2022-07-20
0,AEF,MI,Aeffe S.p.A,Common Stock,Italy,EUR,IT0001384590,1.382,2022-07-20
0,ACST,US,Acasti Pharma Inc,Common Stock,USA,USD,CA00430K8730,0.8711,2022-07-20
1,ACST,V,Acasti Pharma Inc,Common Stock,Canada,CAD,CA00430K8730,1.12,2022-07-20
0,ACCEL,AS,Accell Group NV,Common Stock,Netherlands,EUR,NL0009767532,57.6,2022-07-20
1,AO1B,F,Accell Group NV,Common Stock,Germany,EUR,NL0009767532,57.85,2022-07-20
2,AO1B,XETRA,Accell Group NV,Common Stock,Germany,EUR,NL0009767532,57.45,2022-07-20
0,ACCELYA,NSE,Accelya Solutions India Limited,Common Stock,India,INR,INE793A01012,916.2,2022-07-20
1,ACCELYA,BSE,Accelya Solutions India Ltd,Common Stock,India,INR,INE793A01012,916.9,2022-07-20
0,AX1,AU,Accent Group Ltd,Common Stock,Australia,AUD,AU000000AX19,1.45,2022-07-20
0,ACN,US,Accenture plc,Common Stock,USA,USD,IE00B4BNMY34,281.66,2022-07-20
0,4813,TSE,Access Co Ltd,Common Stock,Japan,JPY,JP3108060009,809.0,2022-07-20
0,7042,TSE,Access Group Holdings Co Ltd,Common Stock,Japan,JPY,JP3108190004,825.0,2022-07-20
0,ACCR,US,Access-Power & Co. Inc,Common Stock,USA,USD,US00431N1081,0.0031,2022-07-20
0,ACSO,LSE,Accesso Technology Group PLC,Common Stock,UK,GBX,GB0001771426,614.0,2022-07-20
1,LOQPF,US,Accesso Technology Group PLC,Common Stock,USA,USD,GB0001771426,7.57,2022-07-20
0,ANA,MC,Acciona,Common Stock,Spain,EUR,ES0125220311,179.0,2022-07-20
1,0H4K,LSE,Acciona,Common Stock,UK,EUR,ES0125220311,179.9,2022-07-20
0,ACCO,US,Acco Brands Corporation,Common Stock,USA,USD,US00081T1088,7.16,2022-07-20
0,AC,PA,Accor S. A.,Common Stock,France,EUR,FR0000120404,28.63,2022-07-20
1,0H59,LSE,Accor SA,Common Stock,UK,EUR,FR0000120404,28.615,2022-07-20
0,4395,TSE,Accrete Inc,Common Stock,Japan,JPY,JP3108180005,1777.0,2022-07-20
0,ACCURACY,NSE,Accuracy Shipping Limited,Common Stock,India,INR,INE648Z01015,203.85,2022-07-20
0,ARAY,US,Accuray Incorporated,Common Stock,USA,USD,US0043971052,2.2,2022-07-20
0,ACRX,US,AcelRx Pharmaceuticals Inc,Common Stock,USA,USD,US00444T1007,0.26,2022-07-20
0,AGRO,US,Adecoagro SA,Common Stock,USA,USD,LU0584671464,7.64,2022-07-20
0,ACD,TO,Accord Financial Corp.,Common Stock,Canada,CAD,CA00435L1085,8.85,2022-07-20
0,ACER,US,Acer Therapeutics Inc,Common Stock,USA,USD,US00444P1084,1.6,2022-07-20
0,ASPCD,US,Acerus Pharmaceuticals Corporation,Common Stock,USA,USD,CA00444G4051,1.48,2022-07-19
1,ASP,TO,Acerus Pharmaceuticals Corporation,Common Stock,Canada,CAD,CA00444G4051,2.83,2022-07-20
2,ASPCF,US,Acerus Pharmaceuticals Corporation,Common Stock,USA,USD,CA00444G4051,1.48,2022-07-20
0,5142,TSE,Achilles Corp,Common Stock,Japan,JPY,JP3108000005,1397.0,2022-07-20
0,ACIW,US,ACI Worldwide Inc,Common Stock,USA,USD,US0044981019,27.29,2022-07-20
0,ACKB,BR,Ackermans & Van Haaren NV,Common Stock,Belgium,EUR,BE0003764785,138.5,2022-07-20
1,0GYM,LSE,Ackermans & Van Haaren NV,Common Stock,UK,EUR,BE0003764785,140.2,2022-07-20
0,AKR,V,Ackroo Inc.,Common Stock,Canada,CAD,CA00461T2074,0.07,2022-07-19
0,ACRS,US,Aclaris Therapeutics Inc,Common Stock,USA,USD,US00461U1051,16.08,2022-07-20
0,ACMR,US,Acm Research Inc,Common Stock,USA,USD,US00108J1097,16.46,2022-07-20
0,6888,TSE,Acmos Inc,Common Stock,Japan,JPY,JP3108100003,354.0,2022-07-20
0,6888,HK,Freetech Road RecyclingTech,Common Stock,Hong Kong,HKD,KYG3728H1002,0.205,2022-07-20
0,ACNB,US,ACNB Corporation,Common Stock,USA,USD,US0008681092,31.75,2022-07-20
0,8572,TSE,Acom Co Ltd,Common Stock,Japan,JPY,JP3108600002,333.0,2022-07-20
0,ACX,MC,Acerinox,Common Stock,Spain,EUR,ES0132105018,8.908,2022-07-20
1,0OIQ,LSE,Acerinox,Common Stock,UK,EUR,ES0132105018,8.812,2022-07-20
0,ACX,XETRA,bet-at-home.com AG,Common Stock,Germany,EUR,DE000A0DNAY5,10.28,2022-07-20
0,ACOR,US,Acorda Therapeutics Inc,Common Stock,USA,USD,US00484M6012,0.5038,2022-07-20
0,ACFN,US,Acorn Energy Inc,Common Stock,USA,USD,US0048481073,0.55,2022-07-20
0,3823,TSE,Why How Do Co Inc,Common Stock,Japan,JPY,JP3108120001,152.0,2022-07-20
0,ACF,AU,Acrow Formwork and Construction Services Ltd,Common Stock,Australia,AUD,AU0000006124,0.49,2022-07-20
0,ATIC,ST,Actic Group AB,Common Stock,Sweden,SEK,SE0009269467,9.26,2022-07-20
0,ATNM,US,Actinium Pharmaceuticals Inc,Common Stock,USA,USD,US00507W2061,5.12,2022-07-20
0,ACW,AU,Actinogen Medical Ltd,Common Stock,Australia,AUD,AU000000ACW3,0.054,2022-07-20
0,ACE,MI,ACEA S.p.A,Common Stock,Italy,EUR,IT0001207098,13.73,2022-07-20
0,ACE,NSE,Action Construction Equipment Limited,Common Stock,India,INR,INE731H01025,225.75,2022-07-20
1,ACE,BSE,ACTION CONSTRUCTION EQUIPMENT LTD.,Common Stock,India,INR,INE731H01025,226.0,2022-07-20
0,ACE,ST,Ascelia Pharma AB (publ),Common Stock,Sweden,SEK,SE0010573113,20.95,2022-07-20
0,AEG,US,Aegon NV ADR,Common Stock,USA,USD,US0079241032,4.17,2022-07-20
0,AEG,AU,Absolute Equity Performance Fund Ltd,Common Stock,Australia,AUD,AU000000AEG2,0.88,2022-07-20
0,AEG,TO,Aegis Brands Inc,Common Stock,Canada,CAD,CA00775H1055,0.4,2022-07-20
0,3279,TSE,Activia Properties Inc,Common Stock,Japan,JPY,JP3047490002,409000.0,2022-07-20
0,ATVI,US,Activision Blizzard Inc,Common Stock,USA,USD,US00507V1098,79.3,2022-07-20
0,AYI,US,Acuity Brands Inc,Common Stock,USA,USD,US00508Y1029,175.03,2022-07-20
0,AYI,AU,A1 Investments & Resources Ltd,Common Stock,Australia,AUD,AU000000AYI6,0.001,2022-07-20
0,ACUR,US,Acura Pharmaceuticals Inc,Common Stock,USA,USD,US00509L8028,0.42,2022-07-20
0,GOLF,US,Acushnet Holdings Corp,Common Stock,USA,USD,US0050981085,46.44,2022-07-20
1,163,F,Acushnet Holdings Corp,Common Stock,Germany,EUR,US0050981085,45.4,2022-07-20
0,GOLF,TA,Golf & Co Group Ltd,Common Stock,Israel,ILA,IL0010961485,654.0,2022-07-20
0,ACUS,US,Acusphere Inc,Common Stock,USA,USD,US00511R8549,0.0,2022-07-20
0,1AD,AU,Adalta Ltd,Common Stock,Australia,AUD,AU0000001AD2,0.048,2022-07-20
0,000553,SHE,ADAMA Ltd,Common Stock,China,CNY,CNE0000004V0,11.27,2022-07-20
0,ADZ,MC,Adolfo Dominguez SA,Common Stock,Spain,EUR,ES0106000013,3.9,2022-07-20
0,ADZ,V,Adamera Minerals Corp.,Common Stock,Canada,CAD,CA00547Y1051,0.06,2022-07-20
0,ADMP,US,Adamis Pharma,Common Stock,USA,USD,US00547W2089,0.48,2022-07-20
0,ADA,AU,Adacel Tech Ltd,Common Stock,Australia,AUD,AU000000ADA7,0.845,2022-07-20
0,ADA,LSE,Adams Plc,Common Stock,UK,GBX,IM00B986V543,6.0,2022-07-20
0,ADANIENT,NSE,Adani Enterprises Limited,Common Stock,India,INR,INE423A01024,2451.1,2022-07-20
1,ADANIENT,BSE,ADANI ENTERPRISES LTD.,Common Stock,India,INR,INE423A01024,2451.1001,2022-07-20
0,ADANIGREEN,NSE,Adani Green Energy Limited,Common Stock,India,INR,INE364U01010,2084.3,2022-07-20
1,541450,BSE,Adani Green Energy Limited,Common Stock,India,INR,INE364U01010,2084.4,2022-07-20
2,ADANIGREEN,BSE,Adani Green Energy Ltd,Common Stock,India,INR,INE364U01010,2084.3999,2022-07-20
0,ADANIPORTS,NSE,Adani Ports and Special Economic Zone Limited,Common Stock,India,INR,INE742F01042,743.55,2022-07-20
1,ADANIPORTS,BSE,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Common Stock,India,INR,INE742F01042,743.2,2022-07-20
0,ADANIPOWER,NSE,Adani Power Limited,Common Stock,India,INR,INE814H01011,289.9,2022-07-20
1,ADANIPOWER,BSE,ADANI POWER LTD.,Common Stock,India,INR,INE814H01011,289.7,2022-07-20
0,ADANITRANS,NSE,Adani Transmission Limited,Common Stock,India,INR,INE931S01010,3018.75,2022-07-20
1,ADANITRANS,BSE,Adani Transmission Ltd,Common Stock,India,INR,INE931S01010,3014.05,2022-07-20
0,ADAP,US,Adaptimmune Therapeutics Plc,Common Stock,USA,USD,US00653A1079,1.84,2022-07-20
0,AATV,US,Adaptive Ad Systems Inc,Common Stock,USA,USD,US00650A1007,0.476,2022-07-20
0,ADPT,US,Adaptive Biotechnologies Corp,Common Stock,USA,USD,US00650F1093,9.61,2022-07-20
0,ADTM,US,Adaptive Medias Inc,Common Stock,USA,USD,US00652J2087,0.0001,2022-07-20
0,ADOOY,US,Adaro Energy Tbk PT ADR,Common Stock,USA,USD,US00652F1075,9.89,2022-07-20
0,2685,TSE,Adastria Holdings Co Ltd,Common Stock,Japan,JPY,JP3856000009,2043.0,2022-07-20
0,ADK,V,Diagnos Inc,Common Stock,Canada,CAD,CA2524423068,0.19,2022-07-20
0,ADKO,VI,Addiko Bank AG,Common Stock,Austria,EUR,AT000ADDIKO0,10.35,2022-07-20
1,ZYE1,F,Addiko Bank AG,Common Stock,Germany,EUR,AT000ADDIKO0,10.2,2022-07-19
0,000547,SHE,Addsino Co Ltd,Common Stock,China,CNY,CNE000000DM5,11.51,2022-07-20
0,ADUS,US,Addus HomeCare Corporation,Common Stock,USA,USD,US0067391062,92.03,2022-07-20
0,A31,SG,Addvalue Technologies Ltd,Common Stock,Singapore,SGD,SG1I67883666,0.015,2022-07-19
0,ADEN,SW,Adecco Group AG Class N,Common Stock,Switzerland,CHF,CH0012138605,33.7,2022-07-20
1,0QNM,LSE,Adecco Group AG Class N,Common Stock,UK,GBP,CH0012138605,33.72,2022-07-20
0,NAN,AU,Nanosonics Ltd,Common Stock,Australia,AUD,AU000000NAN9,4.51,2022-07-20
1,NAN,US,Nuveen New York Quality Municipal Income,FUND,USA,USD,US67066X1072,11.66,2022-07-20
2,NAN,V,North American Nickel Inc,Common Stock,Canada,CAD,CA65704T4054,0.58,2022-07-19
3,NANO,LSE,Nanoco Group plc,Common Stock,UK,GBX,GB00B01JLR99,38.2,2022-07-20
4,NANR,US,SPDR S&P® North American Natural Resources ETF,ETF,USA,USD,US78463X1524,47.55,2022-07-20
5,NANOV,OL,Nordic Nanovector ASA,Common Stock,Norway,NOK,,1.87,2022-07-20
6,NANO,PA,Nanobiotix S.A,Common Stock,France,EUR,FR0011341205,3.425,2022-07-20
7,NANO,TO,Nano One Materials Corp,Common Stock,Canada,CAD,CA63010A1030,2.44,2022-07-20
8,NANOFH,HE,Nanoform Finland Plc,Common Stock,Finland,EUR,FI4000330972,3.3,2022-07-20
9,NANOFS,ST,Nanoform Finland Plc,Common Stock,Sweden,SEK,FI4000330972,37.0,2022-07-20
10,NANX,US,Nanophase Technol,Common Stock,USA,USD,US6300791018,3.19,2022-07-20
11,NANEXA,ST,Nanexa AB,Common Stock,Sweden,SEK,SE0007074166,2.28,2022-07-20
12,NANOCAP-B,ST,Nanocap Group AB Series B,Common Stock,Sweden,SEK,,18.0,2022-07-19
13,NAN-USD,CC,NanTrade,Currency,Unknown,USD,,0.0056,2022-07-20
14,NANHF,US,Nan Hai Corporation Limited,Common Stock,USA,USD,,0.025,2022-07-20
0,4401,TSE,Adeka Corp,Common Stock,Japan,JPY,JP3114800000,2418.0,2022-07-20
0,AYT,AU,Austin Metals Ltd,Common Stock,Australia,AUD,AU0000193682,0.009,2022-07-20
0,ADES,US,Advanced Emissions Solutions Inc,Common Stock,USA,USD,US00770C1018,4.7,2022-07-20
0,ADE,V,Adex Mining Inc,Common Stock,Canada,CAD,CA0069032070,0.01,2022-07-20
0,ADE,XETRA,Bitcoin Group SE,Common Stock,Germany,EUR,DE000A1TNV91,28.14,2022-07-20
0,ADE,OL,Adevinta ASA,Common Stock,Norway,NOK,NO0010844038,67.45,2022-07-20
0,ADFFOODS,NSE,ADF Foods Limited,Common Stock,India,INR,INE982B01019,702.95,2022-07-20
1,ADFFOODS,BSE,ADF FOODS LTD.-$,Common Stock,India,INR,INE982B01019,703.4,2022-07-20
0,ATRX,US,Adhera Therapeutics Inc,Common Stock,USA,USD,US00687E1091,0.0712,2022-07-20
0,ADR,AU,Adherium Ltd,Common Stock,Australia,AUD,AU000000ADR1,0.01,2022-07-20
0,ADIL,US,Adial Pharmaceuticals Inc,Common Stock,USA,USD,US00688A1060,0.98,2022-07-20
0,ADS,XETRA,adidas AG,Common Stock,Germany,EUR,DE000A1EWWW0,173.9,2022-07-20
1,0OLD,LSE,Adidas AG,Common Stock,UK,EUR,DE000A1EWWW0,174.11,2022-07-20
2,ADDDF,US,Adidas AG,Common Stock,USA,USD,DE000A1EWWW0,173.1,2022-07-20
0,ADDYY,US,Adidas AG ADR,Common Stock,USA,USD,US00687A1079,88.06,2022-07-20
0,ADNT,US,Adient PLC,Common Stock,USA,USD,IE00BD845X29,30.78,2022-07-20
0,ABCAPITAL,NSE,Aditya Birla Capital Limited,Common Stock,India,INR,INE674K01013,96.0,2022-07-20
1,ABCAPITAL,BSE,Aditya Birla Capital Ltd,Common Stock,India,INR,INE674K01013,95.95,2022-07-20
0,BIRLAMONEY,NSE,Aditya Birla Money Limited,Common Stock,India,INR,INE865C01022,56.65,2022-07-20
1,BIRLAMONEY,BSE,ADITYA BIRLA MONEY LTD.-$,Common Stock,India,INR,INE865C01022,56.45,2022-07-20
0,ADD,AU,Adavale Resources Ltd,Common Stock,Australia,AUD,AU000000ADD1,0.025,2022-07-20
0,ADD,V,Arctic Star Exploration Corp,Common Stock,Canada,CAD,CA03967T3091,0.085,2022-07-20
0,ADMA,US,ADMA Biologics Inc,Common Stock,USA,USD,US0008991046,2.26,2022-07-20
0,ADBE,US,Adobe Systems Incorporated,Common Stock,USA,USD,US00724F1012,401.49,2022-07-20
0,ADORWELD,NSE,Ador Welding Limited,Common Stock,India,INR,INE045A01017,784.0,2022-07-20
1,ADORWELD,BSE,ADOR WELDING LTD.,Common Stock,India,INR,INE045A01017,783.4,2022-07-20
0,ADP,PA,Aeroports de Paris SA,Common Stock,France,EUR,FR0010340141,126.3,2022-07-20
1,0NP8,LSE,Aeroports de Paris SA,Common Stock,UK,EUR,FR0010340141,125.825,2022-07-20
0,ADT,US,ADT Inc,Common Stock,USA,USD,US00090Q1031,7.22,2022-07-20
1,541,F,ADT Inc,Common Stock,Germany,EUR,US00090Q1031,7.0,2022-07-20
0,ADT,AU,Adriatic Metals Plc,Common Stock,Australia,AUD,AU0000004772,1.755,2022-07-20
1,ADMLF,US,Adriatic Metals Plc,Common Stock,USA,USD,AU0000004772,1.164,2022-07-19
2,3FN,F,Adriatic Metals Plc,Common Stock,Germany,EUR,AU0000004772,1.16,2022-07-19
0,ADROITINFO,NSE,Adroit Infotech Limited,Common Stock,India,INR,INE737B01033,17.9,2022-07-20
1,ADROITINFO,BSE,Adroit Infotech Ltd,Common Stock,India,INR,INE737B01033,17.99,2022-07-20
0,ADST,US,Adstar Inc,Common Stock,USA,USD,US00737P1049,0.0,2022-07-20
0,ATGE,US,Adtalem Global Education Inc,Common Stock,USA,USD,US00737L1035,39.65,2022-07-20
0,6668,TSE,Adtec Plasma Technology Co Ltd,Common Stock,Japan,JPY,JP3122010006,1840.0,2022-07-20
0,6668,HK,E Star Commercial Management Co Ltd,Common Stock,Hong Kong,HKD,KYG3170A1085,1.81,2022-07-20
0,QH9,MU,ADTRAN Holdings Inc.,Common Stock,Germany,EUR,US00486H1059,21.7,2022-07-20
1,QH9,XETRA,ADTRAN Holdings Inc.,Common Stock,Germany,EUR,US00486H1059,21.8,2022-07-20
0,ADVN,SW,Adval Tech Holding AG,Common Stock,Switzerland,CHF,CH0008967926,143.0,2022-07-20
